Variable,Correlation,Correlation3,Correlation7,Correlation30
EMA_3,0.9989,0.9842,0.9669,0.9161
SMA_3,0.9982,0.9837,0.9662,0.9153
EMA_7,0.9959,0.9813,0.9631,0.9156
SMA_7,0.9945,0.9802,0.9619,0.9141
EMA_30,0.9759,0.9613,0.9434,0.9144
LTC_price,0.9718,0.967,0.962,0.9358
ETH_price,0.9717,0.9648,0.9562,0.9194
ETH_market_caps,0.97,0.9631,0.9545,0.917
LTC_market_caps,0.9692,0.9645,0.9595,0.9327
XRP_price,0.9661,0.9608,0.9558,0.9281
BTC_price,0.9646,0.959,0.9527,0.926
BTC_market_caps,0.9634,0.9578,0.9516,0.9247
XRP_market_caps,0.963,0.9578,0.9529,0.9249
SMA_30,0.9628,0.9472,0.9283,0.9028
ETH_total_volumes,0.8618,0.8577,0.846,0.8343
Total Validators,0.8537,0.8478,0.8404,0.8216
staked_amount_validators,0.8378,0.8331,0.8274,0.824
staked_amount_delegators,0.8274,0.8224,0.8162,0.7986
RSI_14,0.8229,0.8192,0.8154,0.7818
BTC_total_volumes,0.8085,0.8045,0.7983,0.7882
STD_7,0.8004,0.7776,0.7568,0.7302
market_cap,0.7953,0.7874,0.778,0.7373
RSI_7,0.7805,0.7749,0.7734,0.7462
LTC_total_volumes,0.7753,0.7737,0.7687,0.7662
STD_30,0.7722,0.754,0.7359,0.7402
Total Transaction,0.7668,0.7548,0.7335,0.6805
CSPR Txn,0.759,0.7429,0.7185,0.6793
STD_3,0.7293,0.7108,0.6939,0.6738
Daily Active Addresses,0.7281,0.7074,0.683,0.6303
total_volume,0.7058,0.6821,0.6686,0.6389
Total Delegators,0.6258,0.6187,0.61,0.5726
Total Distinct Address,0.6085,0.6034,0.5969,0.5657
XRP_total_volumes,0.5498,0.5472,0.546,0.5391
Total NFTs Minted,0.5299,0.5288,0.5267,0.5055
Daily New Addresses,0.4914,0.4818,0.4571,0.4078
Undelegated Amount,0.3837,0.3871,0.3809,0.3768
Delegated Amount,0.2629,0.268,0.2587,0.2996
Smart contract deploy,0.1712,0.1678,0.1643,0.1545
ROC_30,0.1189,0.1139,0.1086,0.0128
NFTs Transfer,0.101,0.1002,0.0889,0.1372
NFTs Minted,0.0875,0.0964,0.0881,0.123
ROC_7,0.0758,0.0687,0.07,0.0446
ROC_3,0.0661,0.0491,0.0544,0.0423
MACD_hist,0.064,0.0705,0.0914,0.0949
NFTs Burn,0.0234,0.0222,0.0227,0.0244
MACD,-0.1354,-0.132,-0.1295,-0.2356
MACD_signal,-0.1607,-0.1592,-0.1629,-0.2747
