Daily New Addresses,Daily Active Addresses,Total Distinct Address,Total Delegators,Total Validators
100,248,8871,879.0,102.0
119,253,8990,899.0,100.0
111,195,9101,918.0,104.0
53,139,9154,948.0,100.0
51,158,9205,971.0,102.0
68,215,9273,986.0,100.0
97,237,9370,1006.0,101.0
140,327,9510,1023.0,101.0
42,283,9552,1035.0,100.0
56,133,9608,1050.0,100.0
57,125,9665,1078.0,99.0
59,171,9724,1109.0,100.0
95,221,9819,1151.0,99.0
94,301,9913,1184.0,100.0
129,268,10042,1209.0,99.0
41,146,10083,1227.0,100.0
51,117,10134,1222.0,90.0
42,90,10176,1237.0,92.0
38,109,10214,1259.0,93.0
47,273,10261,1272.0,95.0
59,273,10320,1296.0,97.0
54,250,10374,1317.0,98.0
56,181,10430,1328.0,98.0
46,202,10476,1338.0,98.0
43,139,10519,1362.0,98.0
60,190,10579,1385.0,98.0
47,203,10626,1395.0,98.0
34,206,10660,1409.0,98.0
60,251,10720,1430.0,98.0
51,160,10771,1440.0,98.0
48,129,10819,1451.0,98.0
42,176,10861,1447.0,96.0
35,212,10896,1467.0,96.0
47,193,10943,1486.0,95.0
55,203,10998,1495.0,95.0
65,273,11063,1517.0,97.0
104,348,11167,1531.0,96.0
178,458,11345,1520.0,96.0
168,388,11513,1469.0,96.0
95,323,11608,1484.0,98.0
101,264,11709,1491.0,99.0
187,409,11896,1512.0,99.0
72,252,11968,1522.0,101.0
90,303,12058,1537.0,97.0
83,216,12141,1566.0,98.0
101,216,12242,1592.0,99.0
87,205,12329,1608.0,101.0
71,191,12400,1633.0,101.0
46,187,12446,1654.0,102.0
60,499,12506,1672.0,101.0
66,817,12572,1688.0,101.0
40,162,12612,1689.0,101.0
62,175,12674,1708.0,101.0
72,208,12746,1727.0,101.0
133,368,12879,1754.0,101.0
97,291,12976,1782.0,100.0
102,406,13078,1798.0,103.0
114,237,13192,1834.0,101.0
67,183,13259,1865.0,100.0
143,207,13402,1896.0,100.0
97,239,13499,1932.0,101.0
84,301,13583,1964.0,100.0
94,265,13677,1999.0,101.0
102,317,13779,2039.0,100.0
886,643,14665,2099.0,100.0
180,439,14845,2150.0,101.0
126,321,14971,2176.0,102.0
128,352,15099,2213.0,101.0
116,440,15215,2251.0,103.0
179,442,15394,2312.0,102.0
172,504,15566,2369.0,101.0
188,460,15754,2467.0,101.0
151,338,15905,2555.0,100.0
124,265,16029,2609.0,100.0
146,343,16175,2692.0,100.0
149,326,16324,2733.0,102.0
107,346,16431,2790.0,103.0
144,518,16575,2827.0,101.0
115,440,16690,2856.0,101.0
105,303,16795,2897.0,101.0
99,238,16894,2935.0,102.0
101,351,16995,2951.0,102.0
115,353,17110,3004.0,102.0
90,331,17200,3058.0,101.0
120,369,17320,3118.0,101.0
129,361,17449,3148.0,101.0
138,270,17587,3203.0,100.0
344,571,17931,3304.0,100.0
232,429,18163,3384.0,101.0
259,559,18422,3438.0,101.0
230,468,18652,3516.0,101.0
172,502,18824,3597.0,109.0
78,317,18902,3443.0,92.0
72,239,18974,3487.0,90.0
68,203,19042,3668.0,95.0
90,319,19132,3605.0,97.0
89,304,19221,3651.0,98.0
117,402,19338,3720.0,103.0
196,506,19534,3793.0,102.0
145,426,19679,3931.0,102.0
208,425,19887,3981.0,101.0
189,322,20076,4027.0,100.0
157,364,20233,4066.0,101.0
136,317,20369,4087.0,100.0
150,372,20519,4112.0,101.0
151,337,20670,4148.0,100.0
151,324,20821,4165.0,102.0
116,259,20937,4183.0,102.0
114,338,21051,4207.0,100.0
97,319,21148,4229.0,101.0
109,306,21257,4247.0,101.0
210,408,21467,4293.0,101.0
160,339,21627,4345.0,100.0
134,320,21761,4398.0,100.0
119,282,21880,4446.0,100.0
142,323,22022,4489.0,101.0
116,397,22138,4535.0,100.0
156,374,22294,4582.0,100.0
148,397,22442,4617.0,103.0
543,507,22985,4667.0,106.0
157,489,23142,4697.0,102.0
135,365,23277,4728.0,102.0
119,333,23396,4744.0,101.0
173,607,23569,4777.0,102.0
179,679,23748,4832.0,102.0
103,312,23851,4840.0,107.0
103,373,23954,4744.0,89.0
109,310,24063,4748.0,89.0
90,264,24153,4828.0,95.0
128,324,24281,4864.0,97.0
131,344,24412,4888.0,97.0
182,448,24594,4950.0,101.0
157,445,24751,4981.0,99.0
205,416,24956,5040.0,99.0
230,460,25186,5105.0,98.0
145,430,25331,5168.0,99.0
200,435,25531,5234.0,100.0
299,718,25830,5306.0,100.0
238,523,26068,5379.0,99.0
280,681,26348,5510.0,98.0
212,558,26560,5630.0,99.0
201,583,26761,5714.0,101.0
229,589,26990,5846.0,101.0
240,544,27230,5982.0,102.0
411,821,27641,6169.0,101.0
356,743,27997,6360.0,104.0
94,361,28091,6443.0,98.0
379,595,28470,6669.0,100.0
413,772,28883,7027.0,103.0
578,926,29461,7454.0,102.0
629,1010,30090,7967.0,103.0
876,1487,30966,8574.0,102.0
1448,2348,32414,9472.0,103.0
1085,1749,33499,10282.0,102.0
1176,1934,34675,11128.0,103.0
1342,2044,36017,12231.0,105.0
1276,2027,37293,13178.0,101.0
2323,3539,39616,14746.0,101.0
1888,3362,41504,16528.0,101.0
1241,1979,42745,17390.0,104.0
1306,2539,44051,18086.0,102.0
737,6138,44788,18568.0,101.0
893,4712,45681,18494.0,104.0
1266,3351,46947,16560.0,104.0
817,1962,47764,16073.0,102.0
681,1514,48445,15975.0,104.0
590,1199,49035,15801.0,102.0
405,848,49440,15726.0,102.0
149,504,49589,15676.0,113.0
141,394,49730,15546.0,99.0
105,318,49835,15487.0,97.0
102,300,49937,15476.0,102.0
102,395,50039,15455.0,102.0
113,381,50152,15418.0,102.0
7708,536,57860,15440.0,103.0
215,552,58075,15393.0,100.0
170,500,58245,15377.0,101.0
119,366,58364,15352.0,100.0
123,368,58487,15332.0,100.0
161,494,58648,15310.0,101.0
212,651,58860,15277.0,101.0
142,528,59002,15282.0,101.0
129,419,59131,15251.0,100.0
116,327,59247,15265.0,100.0
99,291,59346,15262.0,101.0
129,365,59475,15297.0,101.0
122,437,59597,15314.0,100.0
178,448,59775,15323.0,100.0
159,501,59934,15332.0,100.0
140,370,60074,15314.0,102.0
104,336,60178,15331.0,104.0
126,580,60304,15342.0,101.0
122,1147,60426,15350.0,100.0
129,1379,60555,15373.0,101.0
122,1320,60677,15372.0,102.0
117,613,60794,15384.0,114.0
187,663,60981,15124.0,97.0
191,488,61172,15348.0,101.0
162,445,61334,15430.0,103.0
158,422,61492,15436.0,100.0
160,438,61652,15437.0,101.0
162,534,61814,15454.0,102.0
143,414,61957,15454.0,101.0
164,608,62121,15467.0,100.0
140,621,62261,15461.0,101.0
155,557,62416,15454.0,100.0
129,406,62545,15446.0,100.0
125,402,62670,15477.0,101.0
108,425,62778,15486.0,101.0
125,412,62903,15506.0,101.0
119,361,63022,15521.0,101.0
101,479,63123,15542.0,101.0
93,337,63216,15550.0,101.0
85,265,63301,15561.0,100.0
102,308,63403,15600.0,101.0
97,332,63500,15626.0,101.0
96,308,63596,15647.0,100.0
81,279,63677,15663.0,101.0
80,269,63757,15681.0,101.0
101,356,63858,15689.0,100.0
86,290,63944,15716.0,101.0
147,383,64091,15732.0,100.0
146,379,64237,15740.0,102.0
127,354,64364,15742.0,101.0
217,341,64581,15740.0,101.0
111,350,64692,15732.0,101.0
77,282,64769,15717.0,100.0
106,280,64875,15709.0,100.0
151,321,65026,15708.0,100.0
118,327,65144,15710.0,100.0
137,310,65281,15717.0,100.0
151,357,65432,15730.0,101.0
149,440,65581,15734.0,101.0
161,437,65742,15745.0,100.0
116,356,65858,15763.0,101.0
126,412,65984,15772.0,101.0
145,447,66129,15783.0,100.0
173,427,66302,15798.0,100.0
132,499,66434,15811.0,102.0
115,352,66549,15807.0,101.0
86,282,66635,15828.0,100.0
110,278,66745,15845.0,101.0
117,380,66862,15858.0,103.0
102,390,66964,15860.0,103.0
113,365,67077,15841.0,102.0
86,303,67163,15852.0,103.0
127,337,67290,15859.0,101.0
76,340,67366,15873.0,103.0
86,404,67452,15850.0,101.0
83,372,67535,15747.0,100.0
102,561,67637,15828.0,103.0
118,427,67755,15830.0,100.0
96,354,67851,15845.0,100.0
93,326,67944,15870.0,100.0
102,300,68046,15887.0,100.0
137,362,68183,15898.0,102.0
128,332,68311,15891.0,101.0
82,303,68393,15916.0,101.0
104,325,68497,15970.0,101.0
116,344,68613,15984.0,101.0
511,1081,69124,16019.0,100.0
145,537,69269,15980.0,101.0
103,338,69372,15980.0,101.0
97,356,69469,15144.0,102.0
121,401,69590,15147.0,101.0
97,368,69687,15984.0,101.0
96,352,69783,16017.0,101.0
115,340,69898,16015.0,101.0
126,381,70024,16056.0,103.0
92,285,70116,16059.0,100.0
524,1439,70640,16166.0,101.0
213,706,70853,16222.0,100.0
168,545,71021,16259.0,101.0
185,597,71206,16292.0,102.0
259,799,71465,16312.0,101.0
183,574,71648,16312.0,100.0
182,477,71830,16361.0,101.0
119,407,71949,16407.0,113.0
137,388,72086,16059.0,103.0
93,369,72179,16371.0,101.0
94,292,72273,16394.0,105.0
96,423,72369,16398.0,102.0
136,389,72505,16419.0,102.0
121,395,72626,16452.0,102.0
106,402,72732,16506.0,104.0
189,340,72921,16519.0,101.0
85,374,73006,16521.0,100.0
74,268,73080,16544.0,101.0
75,242,73155,16549.0,101.0
87,447,73242,16563.0,100.0
92,346,73334,16575.0,100.0
78,318,73412,16598.0,101.0
135,329,73547,16615.0,101.0
74,298,73621,16624.0,100.0
130,337,73751,16645.0,100.0
72,279,73823,16663.0,101.0
63,207,73886,16661.0,100.0
52,216,73938,16663.0,100.0
72,294,74010,16673.0,101.0
52,293,74062,16671.0,100.0
68,294,74130,16672.0,100.0
129,814,74259,16694.0,101.0
83,555,74342,16708.0,101.0
