staked_amount_delegators,staked_amount_validators
3882852939.393899,97651565.38002716
3867627568.67699,97949201.58464848
3866623654.308498,97565722.06602348
3858706139.236199,98290180.61852916
3854208311.277916,98999318.5540536
3841707473.488426,99686857.04691252
3770512854.030641,98764579.64142498
3753387295.936554,99570838.279071
3754562723.04541,98692623.35208134
3752424332.3176494,99358156.2243477
3753153524.2506776,100213453.84660336
3760211937.5666766,100914967.1941416
3756250205.426832,101553529.35449082
3665008228.652564,100612834.4910526
3760100840.647428,98071151.0556996
4136025023.9121504,98622660.89909796
4279819495.6444426,98844589.16080698
4300543443.421778,99388564.71336088
4302045896.893437,98679626.34448056
4310673278.547199,99224761.68254444
4415156295.068671,101482732.24654771
4542713870.247626,100484613.80180112
4543278071.331416,100953758.59129368
4543658928.762922,102421221.71085323
4542393045.426441,102835846.2412003
4549816803.121488,103329028.85076942
4548171825.291891,103817404.05763994
4480948882.768703,104281081.58335344
4467159538.172942,103228301.99072152
4476459739.866464,103616774.5390623
4472436539.169449,103968565.63638245
4470050297.067645,104463282.50939669
4472625731.645828,104960229.03860548
4463639897.008464,105454458.72076765
4448693720.051474,104919587.533334
4467907636.961787,103833411.28218998
4459906134.438232,104325485.74794492
4326325761.720624,99847901.52580176
4265702673.264287,100335663.95685837
4304541846.788484,100813598.5309432
4281434952.526813,100503082.74685018
4216551039.867606,99493435.2646454
4183889540.056927,99991232.74379872
4173510167.883577,97892763.75633375
4163691200.388409,98399675.76883484
4168776939.851711,99526727.2385501
4169458392.326298,101688305.55798836
4470600643.972079,102069961.81305194
4303240701.03394,98257691.34658118
4348852556.067761,97247531.73876
4342341063.383721,97733572.01564088
4319799175.849988,98221124.37498364
4321968323.290771,98706812.41468072
4313099363.59555,99194327.1472074
4301584618.54257,99665664.38312222
4261496520.9960136,98479464.11072268
4257854796.701717,97371730.52273276
4137633960.865176,98815295.24089491
4116366487.9954815,99259090.48828249
4117632368.530221,99698680.40075465
4158387000.132424,100136874.58513552
4166055419.639902,100544628.67147245
4082663150.581255,103840552.40671808
4094268143.797525,102794656.7387303
4117795654.736955,103247084.17117748
4126091025.792839,103699485.94300269
4129630929.158553,104145708.88819183
4142881188.346015,104539513.94815852
4141361768.6954136,104301659.64287797
4121565049.914513,104745941.5468394
4236612396.7010255,105169165.4851509
4258635431.499743,104110457.27336444
4259025688.87031,104549078.4282973
4249726629.891805,104989090.0570708
4239490730.6402,105129749.86282185
4228952746.6093807,105512292.8333994
4200773574.077286,105853825.6059406
4206512154.256346,101531995.83199205
4203270221.067944,101969560.5453149
4200007220.753807,102407251.0599238
4200043759.0975714,102849087.73253876
4198107199.792484,103297203.33701092
4202586573.0122,103711156.0925262
4190153496.062237,104143610.95548467
4195195260.488412,103063175.4972443
4187554153.9273353,103499883.36859
4179242205.539721,103936339.27255282
4186372217.3008265,104373519.03707376
4184157951.980878,104795938.1470712
4182673572.527392,103605765.74494536
4131491899.087273,104043056.97353706
4159433072.135977,104464772.17105904
3880495189.985793,81710676.44722943
3877995634.3305407,84548882.70701538
4019701802.538888,85407713.4287187
3922477695.4746776,88740212.38821824
3934325009.8880734,88868723.49079052
4073798997.460957,104232875.82230017
4088231062.094061,104304621.93006591
4196382200.263592,104749509.04268838
4193039430.801383,105159679.97317828
4206283897.546536,105573949.468026
4203611524.77853,107100865.65926892
4204365051.710972,107508421.32269315
4208892166.722168,107906424.55982144
4214297882.7752542,108276764.38303895
4219038462.3113713,107385142.68821432
4202282192.346272,107803148.53903463
4209698199.69584,108215708.09085508
4213913947.583658,110406858.29663268
4065838193.767834,110810644.67221151
3971787255.1881,111225902.92529054
4009883056.4403415,111650179.7431601
4002676008.976467,112087187.71291536
4002106202.845756,112521569.61812676
4004780920.307415,112962055.43828423
3987835833.729816,110037136.08152574
3968759638.243463,110462437.0244402
3583643485.725633,110796312.38360351
3995983602.20881,66794083.153507486
4055193440.5836735,67075210.5856348
4130794590.419606,67352043.5483003
4134028077.533961,67633095.9108673
4141747540.283498,67447383.8595866
4138911165.266489,66630340.59916237
4116425968.200191,66905619.19200992
4053818108.116368,59935129.18592188
4085972930.919138,63134356.31720477
4128491655.0830655,64131621.47797079
4116703069.996599,64627677.84572145
4109740442.913976,63564715.99034011
4139042864.014549,65261334.2556928
4129222744.4984336,65359942.45082581
4038648346.571069,65815405.19161929
4041626451.832593,66096256.15283116
4034140080.894308,66384035.73848939
4037397311.80678,66484984.29568316
4037754692.279592,66915469.645738415
4030786350.6090174,67090498.40483096
4042477156.466489,67370459.01745208
4040576018.205798,67651308.56045493
4045703845.492166,67917896.86178312
4052386699.601449,66792722.57453461
4064421784.039044,67559897.51569298
4069718934.558078,67792646.84507336
4064777949.2349615,68883798.87183002
3980342502.646616,68024238.90287276
3974646760.682196,68297566.69779642
4047750336.118298,70371270.40804955
4030986365.245556,70051951.09674728
4014658173.77108,71063627.3704802
4049985246.783088,71496614.48467942
4069875428.66994,71802858.83651428
4087343929.486149,69797840.80531682
4108179631.96136,59309933.53412421
4150662148.544342,59066713.32514874
4163056877.197422,59287527.63383512
4213359774.245192,59549357.56218842
4254662416.850843,59739087.60624384
4265584780.592519,59990373.77008318
4267782619.385424,57469600.5299088
4291714411.5061984,57986895.69069038
4286533808.185819,58023763.88660635
4218322700.847401,58158725.474589765
4200961762.646861,57440776.48831697
4190133392.151025,58676143.71554776
4122042755.1700544,58860825.17352188
4099268395.8951793,59107149.3096413
4086167701.228084,58312188.49330235
4005422730.90574,57958318.39898229
3890641236.091974,58236174.89257583
3894115863.690346,58550197.371676855
4034048674.288585,58825366.56331832
4025528300.5374575,59129451.899256445
4069285245.295359,59740952.18332002
4087073893.6321287,59851047.386018485
4095471415.463413,60277969.84953498
4094577962.41047,60523433.32622362
4092539232.730332,60785858.564779006
4087983388.446402,61047640.24948864
4087527307.071649,61281376.59818867
4095456300.973405,61685920.582859725
4104252987.305365,61942619.72433609
4091112324.1671934,62145131.34473613
4096125814.41939,61713546.1107138
4106621027.361989,61937745.81949456
4089023913.514064,60479924.329971164
4096878046.6431823,60742059.34294476
4118665691.296347,61002711.64517049
4144705592.40244,61268999.584996015
4152494044.2911215,61543677.68390757
4118355397.079652,60865625.770565405
4119919849.4685616,61117606.552072406
4123272974.309693,61375436.07155119
4123023893.358634,60761185.89215583
4119254754.363085,61933193.04089432
4113248215.587917,61321955.43284495
4155174925.168802,63162957.02269694
4165042400.1418624,63416661.35795119
4167075071.053012,63645031.4364369
4192052669.9908366,63897752.04243113
4266697696.183347,64606867.3362308
4264459384.825131,64849892.68188656
4261977915.904542,64452424.34416768
4266036065.7066646,62095443.16948752
4265906125.7848406,62339665.493919455
4268987295.295288,62595516.24652207
4269330071.65807,62848272.02032527
4269107880.669972,63097193.93605799
4275547513.5002594,63293362.92418477
4296749416.237973,63549290.017147
4301684102.92213,63806669.771181576
4307159173.423933,64032058.28767096
