Total Transaction,CSPR Txn,Total NFTs Minted
919,736,0
834,691,0
590,520,0
499,383,0
531,405,0
683,484,0
1122,967,0
1119,990,0
950,861,0
472,423,0
559,487,0
713,599,0
919,696,0
1426,1248,0
1146,795,0
332,200,0
272,191,0
192,120,0
310,219,0
968,793,0
945,763,0
686,569,0
567,469,0
698,603,0
504,384,0
858,747,0
815,680,0
711,579,0
639,513,0
540,468,0
420,339,0
598,513,0
589,515,0
713,537,0
742,592,0
748,640,0
1529,1364,0
1579,1347,0
1113,990,0
1140,1000,0
977,852,0
1726,1549,0
736,638,0
1163,997,0
816,718,0
916,803,0
770,699,0
700,548,0
643,526,0
1126,793,0
1220,1104,0
431,350,0
525,429,0
603,498,0
1049,889,0
827,691,0
1037,908,0
709,577,0
623,453,0
612,533,0
618,463,0
697,531,0
695,537,0
802,614,0
1929,1685,0
1053,888,0
819,689,0
974,800,0
1401,1139,0
1352,1097,0
1381,1131,0
1422,1171,0
1037,824,0
895,729,0
1008,818,0
938,744,0
896,669,0
1471,1230,0
1283,1089,0
918,727,0
689,531,0
993,746,0
955,696,0
862,599,0
899,696,0
1109,861,0
708,524,0
1757,1349,0
1125,824,0
1514,1240,0
1521,1097,0
1324,943,0
733,447,0
563,335,0
453,255,0
897,620,0
918,680,0
1492,1231,0
1877,1505,0
1306,1023,0
1295,1066,0
1162,968,0
1258,1063,0
954,742,0
1178,988,0
1433,1220,0
1218,1072,0
909,752,0
1002,798,0
958,768,0
955,758,0
1316,1079,0
1094,866,0
895,667,0
762,547,0
902,650,0
1274,1041,0
1131,895,0
1227,959,0
2030,1757,0
1466,1215,0
1130,920,0
6103,735,5000
1974,1739,5000
1817,1545,5000
840,653,5000
1119,796,5000
864,646,5000
956,735,5000
981,702,5000
1145,697,5000
2416,803,5000
3868,844,5000
4985,758,5000
6142,1170,5000
6183,909,5000
6390,874,5000
7146,1206,5000
7531,804,5000
3485,1111,5000
1715,1041,5000
1604,971,5000
1984,1166,5000
1813,956,5000
2467,1432,5000
1806,1087,5000
915,311,5000
2007,980,5000
2424,1145,5000
2895,1508,5000
3001,1499,5000
4511,2494,5000
6896,4275,5000
5313,3010,5000
6108,3475,5000
6591,3673,5000
6488,3651,5000
10808,6022,5000
9737,5304,5000
5930,3407,5000
7227,3797,5000
11480,8936,5000
9653,5313,5000
6627,4323,5000
4861,2706,5000
4050,2173,5000
2962,1927,5000
1776,1322,5000
975,609,5000
851,543,5000
593,356,5000
553,313,5000
738,483,5000
826,539,5000
9213,8826,5000
1144,786,5015
1051,738,5015
728,486,5015
784,498,5019
1355,1066,5019
1234,900,5019
1317,889,5019
857,569,5019
767,527,5019
672,453,5019
909,636,5019
936,628,5021
1064,704,5048
1203,807,5070
908,630,5075
761,494,5076
979,706,5078
1562,1295,5081
1914,1558,5082
1811,1524,5085
980,703,5085
1372,1075,5085
1120,818,5085
949,694,5085
948,713,5085
914,650,5085
1115,825,5085
909,686,5085
1469,1054,5086
1394,993,5086
1265,872,5086
878,595,5087
890,597,5087
955,658,5087
978,684,5087
983,575,5087
1336,927,5087
834,449,5087
592,415,5087
699,485,5087
708,482,5087
751,561,5087
609,438,5087
778,430,5087
972,577,5087
798,415,5087
1353,697,5087
1349,674,5087
1218,596,5087
1240,740,5087
1125,671,5087
895,432,5087
959,511,5087
1015,550,5087
974,501,5087
1068,514,5087
1184,715,5087
1311,878,5087
1466,875,5087
1234,673,5087
1309,702,5087
1473,814,5087
1470,799,5087
1490,789,5087
1110,538,5087
1031,449,5087
1076,480,5087
1269,658,5087
1293,672,5090
1249,650,5098
1004,521,5100
1128,608,5102
1075,606,5102
1121,507,5104
1213,686,5104
1460,868,5109
1384,818,5109
1086,586,5109
1111,586,5116
1009,516,5116
1079,600,5116
1066,548,5116
1054,544,5119
1157,656,5121
1207,626,5125
3553,2781,5126
6554,1043,5126
1167,708,5126
1140,623,5136
1267,720,5140
1182,661,5143
1197,609,5144
1239,701,5144
1443,861,5144
1128,497,5144
5073,3633,5161
2247,1291,5166
1764,894,5177
2296,1121,5238
2896,1632,5329
1985,965,5366
1676,812,5386
1305,682,5404
1276,656,5423
960,581,5429
898,426,5433
1591,726,5436
1525,725,5439
1439,682,5439
1452,724,5443
1357,605,5444
1271,550,5445
1132,467,5447
1066,401,5447
1647,857,5447
1299,557,5449
1262,537,5450
1288,563,5451
1031,475,5452
1187,660,5452
917,465,5452
790,384,5452
808,327,5452
1035,467,5452
1020,515,5452
1271,536,5454
2939,1898,5454
1920,1002,5454
1569,844,5454
1365,679,5454
1662,888,5554
1607,738,5554
1446,665,5554
1263,580,5555
1183,554,5559
1104,468,5559
1173,491,5559
1610,902,5559
1305,603,5559
1722,903,5559
1516,793,5559
1341,661,5559
971,413,5559
854,338,5559
1138,481,5567
791,443,5567
702,544,5568
405,276,5570
397,252,5571
442,308,5573
439,266,5581
694,470,5584
945,349,5595
855,369,5598
1038,517,5599
798,336,5600
1723,1051,5600
829,279,5600
1308,623,5601
1518,864,5601
1567,892,5601
1249,539,5605
906,376,5605
836,341,5605
1286,455,5605
1142,478,5605
1195,454,5610
1316,557,5649
1009,380,5653
1015,368,5656
836,319,5656
1197,534,5656
1342,654,5656
1312,573,5656
1294,454,5656
1252,428,5656
1250,480,5656
1199,395,5656
1181,298,5656
1025,345,5656
5407,4491,5656
1116,335,5660
990,263,5660
1137,409,5667
878,309,5667
1852,1388,5667
2079,1822,5671
3488,3062,5674
