Segment,Start Index,End Index,Start Date,End Date,Mean,Std Dev
0,0,110,2018-08-02,2018-11-20,1.4042990909090907,0.18599786826513245
1,110,240,2018-11-20,2019-03-30,0.47048076923076926,0.10178739463755122
2,240,550,2019-03-30,2020-02-03,1.2102974193548388,0.23895105571141204
3,550,920,2020-02-03,2021-02-07,2.5485729729729734,0.5428205430639508
4,920,975,2021-02-07,2021-04-03,4.1764090909090905,0.4966858902301524
5,975,1020,2021-04-03,2021-05-18,5.993111111111112,0.7640573050708296
6,1020,1120,2021-05-18,2021-08-26,3.2018300000000006,0.5554490625610956
7,1120,1200,2021-08-26,2021-11-14,6.346750000000001,0.8371593560965558
8,1200,1265,2021-11-14,2022-01-18,4.6686461538461534,0.4904491326488164
9,1265,1375,2022-01-18,2022-05-08,3.323554545454546,0.46173417355096574
10,1375,1560,2022-05-08,2022-11-09,1.6110972972972972,0.22792818035096232
11,1560,-1,2022-11-09,2023-06-27,0.9929817391304346,0.1455267204405872
