voting_power,total_ballots,total_proposals,total_dust_accounts,total_funded_accounts,funded_accounts,total_accounts,cleared_accounts,n_tx,n_ops_failed,n_calls
309660000000000.0,0,0,4836,16604,278,42476,55,629,20,0
309660000000000.0,0,0,4903,16761,192,42609,35,595,17,0
309660000000000.0,0,0,4967,16923,199,42738,37,455,41,0
309660000000000.0,0,0,5018,17083,190,42861,30,405,13,0
309660000000000.0,0,0,5071,17253,215,42997,45,468,11,1
309660000000000.0,0,0,5120,17400,182,43109,35,425,28,0
309660000000000.0,0,0,5174,17561,202,43233,41,491,18,0
309660000000000.0,0,0,5241,17747,232,43357,46,661,21,0
309660000000000.0,0,0,5297,17875,160,43453,32,431,18,0
309660000000000.0,0,0,5340,18000,150,43557,25,358,9,0
309660000000000.0,0,0,5389,18173,201,43655,28,822,0,0
309660000000000.0,0,0,5443,18336,187,43785,24,554,22,0
309660000000000.0,0,0,5519,18503,210,43925,43,791,18,0
309660000000000.0,0,0,5567,18665,205,44042,43,1104,7,0
309660000000000.0,0,0,5612,18783,147,44139,29,513,15,0
309660000000000.0,0,0,5664,18883,136,44228,36,487,4,0
368420000000000.0,0,0,5709,19046,184,44314,21,1215,13,2
368420000000000.0,0,0,5756,19170,147,44415,23,389,5,0
368420000000000.0,0,0,6337,19854,770,45036,86,2091,13,0
368420000000000.0,0,0,6478,20135,331,45249,50,1935,16,0
368420000000000.0,0,0,6569,20316,200,45373,19,644,6,0
368420000000000.0,0,0,6633,20457,161,45475,20,445,5,0
368420000000000.0,0,0,6693,20608,193,45581,42,1693,3,0
368420000000000.0,0,0,6725,20684,99,45638,23,398,10,0
368420000000000.0,0,0,6768,20821,168,45743,31,486,3,0
368420000000000.0,0,0,6831,21013,221,45872,29,2167,8,0
368420000000000.0,0,0,7069,27764,6777,52717,26,7379,702,0
368420000000000.0,0,0,7466,28198,457,53131,23,1065,248,0
368420000000000.0,0,0,7606,28395,237,53307,40,2204,102,0
368420000000000.0,0,0,7727,28580,207,53461,22,723,84,0
368420000000000.0,0,0,7821,28724,155,53571,11,518,61,0
368420000000000.0,0,0,7885,28848,159,53662,35,2006,52,0
368420000000000.0,0,0,7958,29010,192,53794,30,733,45,0
368420000000000.0,0,0,8050,29189,201,53932,22,668,60,0
368420000000000.0,0,0,8139,29387,238,54074,40,2659,27,0
368420000000000.0,0,0,8204,29518,144,54166,13,743,21,0
368420000000000.0,0,0,8255,29656,157,54264,19,1558,22,0
368420000000000.0,0,0,8295,29742,116,54335,30,2013,30,0
368420000000000.0,0,0,8339,29838,107,54406,11,555,25,1
368420000000000.0,0,0,8390,29966,151,54514,23,854,20,0
395330000000000.0,0,0,8522,30178,245,54662,33,2950,39,2
395330000000000.0,0,0,8623,30300,143,54764,21,569,36,0
395330000000000.0,0,0,8672,30404,136,54829,32,1395,21,3
395330000000000.0,0,0,8713,30543,197,54939,58,2285,24,3
395330000000000.0,0,0,8881,30879,361,55151,25,858,48,0
395330000000000.0,0,0,8966,31109,250,55267,20,2246,13,0
395330000000000.0,0,0,9127,31609,560,55619,60,2574,29,0
395330000000000.0,0,0,9253,31942,359,55834,26,1118,11,3
395330000000000.0,0,0,9316,32217,332,56031,57,23772,17,0
395330000000000.0,0,0,9409,32487,300,56223,30,1908,28,0
395330000000000.0,0,0,9543,32838,389,56461,38,1575,25,0
395330000000000.0,0,0,9596,32994,204,56582,48,2600,14,0
395330000000000.0,0,0,9642,33151,177,56689,20,638,22,0
395330000000000.0,0,0,9690,33291,161,56791,21,539,26,0
395330000000000.0,0,0,9723,33456,184,56888,19,3225,3,0
395330000000000.0,0,0,9783,33602,190,57000,44,1402,14,0
395330000000000.0,0,0,9850,33756,180,57116,26,557,13,0
395330000000000.0,0,0,9910,33924,230,57262,62,3510,37,0
395330000000000.0,0,0,9960,34069,153,57362,8,860,15,0
395330000000000.0,0,0,10013,34215,164,57477,18,834,6,0
395330000000000.0,0,0,10065,34406,233,57607,42,3394,12,1
395330000000000.0,0,0,10154,34609,249,57802,46,1374,7,0
395330000000000.0,0,0,10260,34816,238,57987,31,961,14,0
425930000000000.0,0,0,10335,35061,288,58160,43,3852,584,1
425930000000000.0,0,0,10406,35222,188,58292,27,818,7,0
425930000000000.0,0,0,10483,35365,157,58396,14,479,7,0
425930000000000.0,0,0,10534,35533,209,58508,41,3715,5,0
425930000000000.0,0,0,10618,35732,225,58658,26,1064,5,0
425930000000000.0,0,0,10695,35910,201,58806,23,605,15,0
425930000000000.0,0,0,10740,36086,256,58973,80,4542,33,0
425930000000000.0,0,0,10762,36251,178,59108,13,599,6,0
425930000000000.0,0,0,10839,36432,218,59291,37,883,9,0
425930000000000.0,0,0,10883,36575,181,59387,38,3712,14,0
425930000000000.0,0,0,10921,36691,138,59493,22,799,0,0
425930000000000.0,0,0,11020,36910,244,59673,25,1290,11,0
425930000000000.0,0,0,11239,37423,1041,60289,528,6038,30,8
425930000000000.0,0,0,11395,37751,545,60625,217,1685,8,2
425930000000000.0,0,0,11500,37970,369,60847,150,1278,2,0
425930000000000.0,0,0,11574,38150,318,61040,138,4437,37,6
425930000000000.0,0,0,11648,38305,228,61185,73,723,24,2
425930000000000.0,0,0,11724,38478,234,61344,61,844,5,0
425930000000000.0,0,0,11823,38661,336,61536,153,4513,28,1
425930000000000.0,0,0,11908,38826,260,61708,95,1182,4,13
425930000000000.0,0,0,11982,39019,298,61889,105,1585,4,10
425930000000000.0,0,0,12038,39151,246,62052,114,3802,14,3
425930000000000.0,0,0,12104,39293,205,62201,63,996,5,12
449610000000000.0,0,0,12147,39442,206,62313,57,2778,3,2
449610000000000.0,0,0,12191,39571,200,62429,71,2362,2,3
449610000000000.0,0,0,12262,39710,244,62593,105,968,12,1
449610000000000.0,0,0,12312,39858,253,62731,105,4384,1,6
449610000000000.0,0,0,12361,39959,173,62836,72,1809,3,3
449610000000000.0,0,0,12417,40054,142,62942,47,568,8,1
449610000000000.0,0,0,12470,40179,231,63058,106,4126,18,1
449610000000000.0,0,0,12522,40273,164,63152,70,1208,10,1
449610000000000.0,0,0,12604,40380,159,63256,52,570,3,2
449610000000000.0,0,0,12644,40489,244,63368,135,4563,23,8
449610000000000.0,0,0,12702,40632,226,63503,83,1329,6,5
449610000000000.0,0,0,12791,40809,301,63694,124,1129,8,0
449610000000000.0,0,0,12869,40996,321,63888,134,4612,8,7
449610000000000.0,0,0,12921,41108,190,64019,78,1384,8,0
449610000000000.0,0,0,12966,41207,164,64139,65,496,2,1
449610000000000.0,0,0,13000,41331,222,64253,98,4220,0,0
449610000000000.0,0,0,13092,41474,272,64428,129,1838,82,3
449610000000000.0,0,0,13154,41610,220,64575,84,659,5,6
449610000000000.0,0,0,17157,45696,4275,68609,189,14752,5,5
449610000000000.0,0,0,19139,47676,2060,70607,80,13267,32,6
449610000000000.0,0,0,20218,48780,1163,71736,59,6566,1,13
449610000000000.0,0,0,20242,48920,211,71829,71,5628,9,3
449610000000000.0,0,0,20274,48991,138,71926,67,1004,8,0
449610000000000.0,0,0,31796,60491,12106,83944,606,20137,4,0
462840000000000.0,0,0,51183,79977,19636,103440,150,30992,12,5
462840000000000.0,0,0,94691,123596,43683,147081,64,48408,25,6
462840000000000.0,0,0,131886,160876,37323,184378,43,43638,17,2
462840000000000.0,0,0,160774,189896,29082,213389,62,44077,12,2
462840000000000.0,0,0,198015,227268,37426,250748,54,54665,13,1
462840000000000.0,0,0,211538,240906,13746,264425,108,23750,7,1
462840000000000.0,0,0,216608,246097,5261,269649,70,10710,91,2
462840000000000.0,0,0,216893,246498,469,270050,68,3399,116,2
462840000000000.0,0,0,216874,246546,157,270146,109,2521,593,0
462840000000000.0,0,0,216857,246632,210,270292,124,1291,92,4
462840000000000.0,0,0,216846,246705,154,270394,81,3158,54,1
462840000000000.0,0,0,216838,246734,86,270454,57,2067,4099,0
462840000000000.0,0,0,216821,246762,78,270514,50,871,923,0
462840000000000.0,0,0,216828,246812,133,270617,83,1167,84,0
462840000000000.0,0,0,216832,246928,204,270741,88,5812,121,5
462840000000000.0,0,0,216838,246964,118,270825,82,5889,117,7
462840000000000.0,0,0,216813,247018,199,271017,145,6322,47,61
462840000000000.0,0,0,216811,247089,148,271097,77,12051,66,1
462840000000000.0,0,0,216809,247096,64,271145,57,10700,28,0
462840000000000.0,0,0,216812,247128,93,271199,61,3878,36,0
462840000000000.0,0,0,216815,247206,135,271274,57,12531,42,1
462840000000000.0,0,0,216822,247264,99,271351,41,6622,39,0
462840000000000.0,0,0,216786,247332,125,271452,57,11782,41,5
462840000000000.0,0,0,216728,247370,117,271520,79,8612,30,1
462840000000000.0,0,0,216727,247390,66,271576,46,690,58,0
462840000000000.0,0,0,216723,247425,74,271629,39,1108,23,1
467000000000000.0,0,0,216708,247507,122,271709,40,5164,87,0
467000000000000.0,0,0,216704,247546,120,271801,81,781,48,3
467000000000000.0,0,0,216692,247563,75,271856,58,1097,24,2
467000000000000.0,0,0,216683,247647,173,271958,89,5887,46,1
467000000000000.0,0,0,216680,247705,159,272074,101,834,48,2
467000000000000.0,0,0,216668,247760,112,272161,57,1666,37,1
467000000000000.0,0,0,216653,247811,105,272222,54,5910,24,1
467000000000000.0,0,0,216644,247838,83,272272,56,843,21,2
467000000000000.0,0,0,216641,247902,129,272360,65,575,50,0
467000000000000.0,0,0,216633,247947,93,272411,48,4267,10,2
467000000000000.0,0,0,216635,247991,111,272471,67,1519,35,3
467000000000000.0,0,0,216627,248025,106,272547,72,891,13,0
467000000000000.0,0,0,216625,248091,132,272630,66,5180,36,9
467000000000000.0,0,0,216617,248116,96,272698,71,1072,57,1
467000000000000.0,0,0,216619,248152,104,272770,68,1040,24,0
467000000000000.0,0,0,216615,248180,105,272823,77,4323,25,1
467000000000000.0,0,0,216611,248199,53,272855,34,1463,14,0
467000000000000.0,0,0,216617,248254,119,272924,64,1590,17,1
467000000000000.0,0,0,216619,248297,109,273005,66,5463,39,1
467000000000000.0,0,0,216614,248345,97,273077,49,677,14,2
467000000000000.0,0,0,216600,248384,88,273138,49,2710,27,1
467000000000000.0,0,0,216602,248431,106,273198,59,3652,31,1
467000000000000.0,0,0,216604,248467,94,273268,58,654,11,2
488620000000000.0,0,0,216609,248560,155,273392,62,3668,26,1
488620000000000.0,0,0,216617,248630,131,273474,61,3548,30,1
488620000000000.0,0,0,216611,248686,126,273570,70,1012,18,0
488620000000000.0,0,0,216603,248722,82,273622,46,4643,22,2
488620000000000.0,0,0,216598,248748,100,273680,74,1070,29,0
488620000000000.0,0,0,216597,248776,93,273746,65,964,29,0
488620000000000.0,0,0,216569,248830,126,273822,72,5346,29,1
488620000000000.0,0,0,216534,248870,116,273904,76,1710,29,0
488620000000000.0,0,0,216571,248879,77,273973,68,482,14,0
488620000000000.0,0,0,216564,248932,132,274050,79,4373,36,3
488620000000000.0,0,0,216567,248959,89,274108,62,2753,24,0
