delegated,minted,activated,active_staking,staking,liquid,circulating,active_delegated,delegated,total,frozen,inactive_staking,inactive_delegated
276009525.33164,1300127.958245,426791620.310409,335557578.674065,335557578.674065,420641912.13578,428087843.135655,276009525.33164,276009525.33164,765614820.837946,7445930.999875,0.0,0.0
277332011.906588,1406032.958163,427957865.364083,337212890.5319,337212890.5319,421217371.391312,429359712.442247,277332011.906588,277332011.906588,765720445.090864,8142341.050935,0.0,0.0
277862114.097784,1514602.958163,428412660.407837,337932214.791018,337932214.791018,421068303.228884,429922962.767001,277862114.097784,277862114.097784,765828900.371864,8854659.538117,0.0,0.0
280878836.121846,1623393.291455,429322771.508784,340923046.779455,340935052.820875,421915931.847283,430940769.18324,280878834.921846,280878836.121846,765936595.687156,9024837.335957,12006.04142,1.2
292422993.03268,1704807.164739,443764782.330489,353777221.533401,353789227.574821,435849311.785664,445453001.513621,292422991.83268,292422993.03268,766006817.195832,9603689.727957,12006.04142,1.2
291878367.582777,1795384.831049,444447434.94434,354468422.544894,354480428.586314,435967672.359364,446219184.261944,291878366.382777,291878367.582777,766090347.330304,10251511.90258,12006.04142,1.2
295467778.391471,1894307.830967,445654917.507043,358324117.752409,358336123.793829,436566768.290591,447521936.996899,295467777.191471,295467778.391471,766185617.502556,10955168.706308,12006.04142,1.2
299294472.439473,1992383.830905,446134348.460628,362778710.755237,362821739.785291,437865730.577935,448099430.329422,299294471.239473,299294472.439473,766283679.881494,10233699.751487,43029.030054,1.2
300645200.883327,2093674.830783,447592711.746128,364145355.861095,364188384.891149,438651965.600343,449659071.7648,300645199.683327,300645200.883327,766384958.031372,11007106.164457,43029.030054,1.2
301350933.197156,2193954.163961,447995875.461608,365319339.446108,365362368.476162,438388732.446218,450162499.136458,301350931.997156,301350933.197156,766485221.68755,11773766.69024,43029.030054,1.2
302089841.238422,2297206.163941,448555505.21372,366064915.231467,366137634.477003,439844166.969526,450825367.78155,302089828.538023,302089841.238422,766588460.58053,10981200.812024,72719.245536,12.700399
302620900.310875,2397562.163783,449297942.103871,366667668.28695,366730386.789496,439867380.178666,451668146.022543,302620887.610476,302620900.310875,766688801.931372,11800765.843877,62718.502546,12.700399
303569788.791413,2500803.163729,450705147.897542,367849992.546038,367910232.940136,440539920.46785,453178579.19516,303569776.091014,303569788.791413,766792029.310318,12638658.72731,60240.394098,12.700399
304494777.783723,2604213.705355,450940011.05256,368761284.343136,369202929.605907,441765843.229067,453516836.443804,304365469.764586,304494777.783723,766895423.403944,11750993.214737,441645.262771,129308.019137
304477969.311341,2704956.705291,452855301.866458,369407195.789498,369709528.348206,442907869.009672,455532857.664638,304477945.617567,304477969.311341,766996153.81088,12624988.654966,302332.558708,23.693774
304531241.717478,2803889.871835,453281633.559805,369799794.460026,370092122.478734,442573486.628756,456058104.599529,304531218.023704,304531241.717478,767095069.052424,13484617.970773,292328.018708,23.693774
