name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Hic et nunc DAO,KT1AFA2mwNUMNd4SsujE1YYp29vd8BZejyKW,0,651099128108,,88,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Hic et Nunc - State of the Art - March 11th 2021,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,4202,50,['tz1hb9PiWxQEf6J9xevPsUM6dkuCLnhDMvsp'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,5324,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,5603,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,5952,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name IV,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6000,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name VI,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6430,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name VIII,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6587,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name IX,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6983,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name VII,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7003,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Ambigrammatic Figure #0143 (Card 30/55),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6898,22,['tz1eQThmh9yuuxjvFBWbRGKUr2goUw1gAd39'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name V,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7136,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative nature. Name: no name X,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7146,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Unlikely Identicons 4/4,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6791,100,['tz1LKpeN8ZSSFNyTWiBNaE4u4sjaq7J1Vz2z'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Mists,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7203,1,['tz29mS5gdfemxdhTZbtksFj5atKKLfJ8JM3D'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name IV.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7860,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name VII.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8069,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name III.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8466,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],9,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name I.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8474,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Weathered Peak: Dawn,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8460,70,['tz1ViMzA17dRAZpCopuckBHdphMua26YDVgN'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name X",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,9087,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Collection: Human and (not vs) Machine, the pre dialogue. Name: no name IX.",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,9100,3,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
GenerativO Sov I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10310,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],7,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
GenerativO Sov II ,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10313,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
