name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Window Still Life 001,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,2371,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],7,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Hic et nunc DAO,KT1AFA2mwNUMNd4SsujE1YYp29vd8BZejyKW,0,651099128108,,1821,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 002,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,2923,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 003,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,3852,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],3,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 004,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,4541,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 005,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,4993,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 006,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,5765,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 007,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6110,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],3,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 008,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6262,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],4,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 009,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,6885,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 010,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,7350,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 011,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8128,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 012,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,8570,1,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],4,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 013,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,9391,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 014,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,9996,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],3,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 015,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,10822,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 016,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11641,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Window Still Life 017,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,12386,25,['tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38'],2,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
