name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
sphere,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,33841,200,['tz1fFyjutcBjReVWyL31QqXYNZhu1bDndvTy'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
MAKE NOISE,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,41352,10,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],4,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Gradient Clock,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,43555,24,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Gradient Clock,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,43561,24,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],3,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
The Love Drop,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,43084,500,['tz1MfviRRGc93Dc8XHkSNhCADq4s9LiTRnMS'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
MXC.0020,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44359,5,['tz1SXP4xYMnuC2LKHBZFY3PfaSU7iuTnPWXc'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
hubstruct.GG.add(2),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44478,500,['tz1M5ueSbXjRK8rTiEcG4ZEXktnMH2NKve3g'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
House Party,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44725,500,['tz1gkwsXXZ1qxWhab6N6A2Y1gTtLmJai2mny'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
HARA,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45227,505,['tz1TxDL7npfYDSyvrZFC4deUPMySvsL6xARU'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Glitchy Bearbrains,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44501,6969,['tz1Uhngj7dFeeHYJ16DrqELA4DRob9USV9nL'],3,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Digital city storm,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44625,500,['tz1YPUNi7KW28VxZNEu3fNkRkJG55G9p7wsN'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Rotokala,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45008,510,['tz1amcW9v6AYqZsb4DvSei3SA6WzUhF8tdLE'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Palm Sunshine,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44750,1000,['tz1Nmr6SFJwFP4ht5VALFVGpnzumYbWYd6j5'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
100TEMPO,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44542,420,['tz2NFV2C4CFvjRsRjo7DXvqm9W9TFDupVL5t'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
OBJKT4OBJKT #1 Exhibition,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,41956,1000,['tz1SnBug618LfchQZqvkJXJqyKLng7GpHjNs'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Freedom,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44818,250,['tz1KnQ6pwnLBExTEqZpJta8ngydaLcKUYgTp'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
BEM-VINDO ,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44810,2000,['tz1fKTtok4A2DR76HVbj9RZuCczTyt1HgYEo'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
The Kluben Crystal,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45505,128,['tz1MwvWz611pLwYdFMZpWCEsh247MEYtm5ii'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Out of flatland,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44641,500,['tz1ZS7HZyg8z8td3NYcPcVpBsTE31uKrYRWW'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Attractor (emerging),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45671,500,['tz1X5wRkNVQG7QfUg4kSpaQbBWPzCv6wf6mV'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
sesh.,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44796,501,['tz2LjW2Zw6VY8G5aaH7JUBN4XdYSF3mKqGh8'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
4D,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45490,500,['tz1QvQiJY21xcfmPGZD7qqTGsJJEW3geuwt6'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
