name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Generative Springtime 01,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,43891,5,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Away-05,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,46189,100,['tz29mS5gdfemxdhTZbtksFj5atKKLfJ8JM3D'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Clay Study of Boxy Complex (Objkt4Objkt piece),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,44058,501,['tz1QDJmf1tbrzKCw1XaEGQpwxjobNpt7MmZL'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,46158,100,['tz1fne8nhZuSRgzaQPyaomKQcFRfthyicBQc'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
animated parametric noise,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,46149,50,['tz1cgQAQfECg5bPASYTMyJ9QJQjSUi8rfL67'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Anemone,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,46049,999,['tz2HwP1JKEjEy4H8RxPMkoHWuSzUWZsRSC3R'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
ATLANTIS - Remember Me,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,45917,512,['tz1cjn8DAkb7FsCHMJsJq17uRFWhCrGxnzqd'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
PORTAL universe #4,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,51798,6,['tz1LY9jBJSPbMHi3myTj6RwQEsWwGqEVDzgG'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — landscape in dark tones,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,403364,10,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],4,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — landscape in dark tones — swirl,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,403562,10,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],4,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Persistence.N.980969,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,383182,10,['tz1QYhY8YB8q1dxuFu4C7iA8odB5RaVgNLhX'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
An Explosion of Wanderings,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,382670,10000,['tz2VN3fWzqHE44F6zedJB7UtALKEh5WhqAJJ'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Haeckel_III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,351606,150,['tz1iZbRAAsj6GfhPqiX3yCoW8F1cw7oXrxG1'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — Seclusion in a Crowd,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,410814,15,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
hope / rope / nope / cope,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,395136,25,['tz1ityKVKAo1fNgemGym7u5xq1QoKrngfd2g'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Sphere Packing VI,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,422546,10,['tz2TcmyKAwVU2wU67xS6CYnvfta2UwF5BTRT'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — A Conversation in Time,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,434591,16,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — A Conversation in Time,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,434682,16,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],17,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Sphere Packing Gift,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,435308,50,['tz2TcmyKAwVU2wU67xS6CYnvfta2UwF5BTRT'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
PXLSRTNG 212,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,435117,10,['tz1Y6ifqdLU3h2b1DVNJfuTekymf4UQJLXke'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Angulos,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,435721,6,['tz1XyTtAiSdrDpcYq2Uohdc7C59ZY8Kr32K3'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Indoor Chaos.,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,435764,6,['tz1XyTtAiSdrDpcYq2Uohdc7C59ZY8Kr32K3'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
The Visitor,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,432640,100,['tz1ZYBFfZatYW9nJiarHodEtgHv9GD5KUetk'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Letter M,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,259804,20,['tz1Wr4HPY93BuRXmXrjv3JmZBHAUFx9YA5YT'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Atlas-Pagkalat-783-715-439,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,396608,1000,['tz1VjDRucYD9jHnVbNiTLRzZf3C4YW9Eupa7'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Atlas-Anell-705-367-221,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,357508,10,['tz1VjDRucYD9jHnVbNiTLRzZf3C4YW9Eupa7'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
PXLSRTNG 485,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,435139,8,['tz1Y6ifqdLU3h2b1DVNJfuTekymf4UQJLXke'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Xylem_II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,351624,50,['tz1iZbRAAsj6GfhPqiX3yCoW8F1cw7oXrxG1'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — A broad conversation in time,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,461686,16,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],8,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — A broad conversation in time — Physical drawing,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,461707,1,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Emanating Memories,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,462313,1,['tz1iZbRAAsj6GfhPqiX3yCoW8F1cw7oXrxG1'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
HCHL_001,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,466830,10,['tz1VjDRucYD9jHnVbNiTLRzZf3C4YW9Eupa7'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Emanating Memories,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,466314,1,['tz1iZbRAAsj6GfhPqiX3yCoW8F1cw7oXrxG1'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Revolution,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,475858,1,['tz1Q5WJ9NGy262exjudGBcUtue6tCzhbBU3U'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
A Night to Forget || AudioVisual,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,478960,100,['tz1aNZttacWt7Q2kmvDnLjXkxC27MnigTZtV'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Flight,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,453423,20,['tz1ZYBFfZatYW9nJiarHodEtgHv9GD5KUetk'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Cubic II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,301751,20,['tz1YjmR1StFsGGJZ3jm6YuG7B1uNP3i6Bss4'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Mother Ghost,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,489993,66,['tz1KiMZ3NdUcuxEcCRRW7s6g4o4TxPcyvynm'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Where Is The Body?,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,488754,200,['tz1LcHPjvqyWK5C5jieSHmTNAhNkygEAS3XH'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Dystopian Hours IV- Failure,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,482833,10,['tz1LcHPjvqyWK5C5jieSHmTNAhNkygEAS3XH'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
AURORA #01,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,498700,3,['tz1SwexXENRCBgGtzGxJhTA8QTUf82sjwEnb'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Dystopian Hours II- Loneliness ,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,482910,15,['tz1LcHPjvqyWK5C5jieSHmTNAhNkygEAS3XH'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — His Majesty uncrowned,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,507746,15,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],5,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Terrarium 015 ⚘,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,506608,35,['tz1SvUbq5n5PW1S2RdRirN3kqwgE8MGyRwQx'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Blue house,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,508051,50,['tz1LpQs9b1QXsw57jdkfvEdg31p4WTBVAUmd'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
FracturedSphere,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,506122,100,['tz2GjsGgReuuQEP5QgquhxRoKpVcBJ4mVUSL'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — Mint,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,511817,1000,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],10,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
yaramas,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,510209,100,['tz1gFUwNDZ3Dhe8QbGDVJCEAA3ivdXHuLPpZ'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Construkt x petitsapin #01,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,513803,500,['tz2VN3fWzqHE44F6zedJB7UtALKEh5WhqAJJ'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
hen500k,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,515109,5000,['tz1QYhY8YB8q1dxuFu4C7iA8odB5RaVgNLhX'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Shard |13,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,143440,10000,['tz1P5Za1TUMsDejgzMM5iMNfHAxDUpPCHiwZ'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Untitled (Crystalline),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,502926,5000,['tz1ZYBFfZatYW9nJiarHodEtgHv9GD5KUetk'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Silken — The Seashell,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,295999,20,['tz1Roq6end2LFtkpGrmuyRZH82xsWfaRCat1'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Cascade-07,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,516150,500,['tz29mS5gdfemxdhTZbtksFj5atKKLfJ8JM3D'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Monolith 001,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,301273,15,['tz1bXrkUZi2neinqmx3amCvptVwFiT43qT2m'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
zancan.tez,KT1GBZmSxmnKJXGMdMLbugPfLyUPmuLSMwKS,23342,1,,1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Light Flux,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,527097,25,['tz1bXrkUZi2neinqmx3amCvptVwFiT43qT2m'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Back to Nature,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,526814,5,['tz1XduX9RUaE6TpiviVogP4rTxTBpGuqvgjR'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — Vantage points,KT1MEEn4SZ7fD5c4FKXf68hZoWjtwcf4EGLg,0,15,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],6,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Lushtemples — Vantage points — Monument edition,KT1MEEn4SZ7fD5c4FKXf68hZoWjtwcf4EGLg,1,1,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
Interpolation From a Circle to an Equilateral Triangle (#14),KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,532206,20,['KT1TaPfAuhmnyo6Le6zKe17opvFCsTxk1VN7'],1,zancan.tez,tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm
