Date,price,coll_sum,coll_count,coll_mean
2023-07-26,0.0176,7.5558,84.0,0.08995
2023-07-27,0.299,9.369,11.0,0.8517272727272727
2023-07-28,0.25,9.372,5.0,1.8744
2023-07-29,0.234,0.68,3.0,0.22666666666666668
2023-07-30,0.1934,1.9978,6.0,0.3329666666666667
2023-07-31,0.1934,0.5,5.0,0.1
2023-08-01,0.2475,1.7942,12.0,0.14951666666666666
2023-08-02,0.22,2.528,10.0,0.2528
2023-08-03,0.22,10.0,2.0,5.0
2023-08-04,0.2491,4.49815,3.0,1.4993833333333333
2023-08-05,0.25,1.434,5.0,0.2868
2023-08-06,0.384,0.39390000000000003,2.0,0.19695000000000001
2023-08-07,0.09,3.02,14.0,0.21571428571428572
2023-08-08,0.099,8.5169,107.0,0.07959719626168224
2023-08-09,0.099,13.790000000000001,10.0,1.379
2023-08-10,0.1775,0.3842,5.0,0.07683999999999999
2023-08-11,0.179,1.499,5.0,0.2998
2023-08-12,0.1791,6.93815,42.0,0.16519404761904763
2023-08-13,0.2031,53.1632,178.0,0.29866966292134833
2023-08-14,0.2031,52.6326,67.0,0.7855611940298507
2023-08-15,0.2031,14.3696,18.0,0.7983111111111111
2023-08-16,0.0978,7.3672,48.0,0.15348333333333333
2023-08-17,0.2,2.888,15.0,0.19253333333333333
2023-08-18,0.4967,2.1544,9.0,0.23937777777777777
2023-08-19,0.4967,7.01,6.0,1.1683333333333332
2023-08-20,0.4967,10.2557,6.0,1.7092833333333333
2023-08-21,0.4967,2.215,5.0,0.44299999999999995
2023-08-22,0.4967,1.1045,3.0,0.3681666666666667
2023-08-23,0.499,0.599,2.0,0.2995
2023-08-24,0.499,0.005,1.0,0.005
2023-08-25,0.499,7.5575,6.0,1.2595833333333333
2023-08-26,0.499,1.99,1.0,1.99
2023-08-27,0.499,1.0,1.0,1.0
2023-08-28,0.499,5.0,4.0,1.25
2023-08-29,0.499,2.1485000000000003,3.0,0.7161666666666667
2023-08-30,0.499,0.149,1.0,0.149
2023-08-31,0.499,0.0,0.0,0.0
2023-09-01,0.499,1.4,6.0,0.2333333333333333
2023-09-02,0.499,0.0,0.0,0.0
2023-09-03,0.499,5.499,2.0,2.7495
2023-09-04,0.499,5.0,1.0,5.0
2023-09-05,0.499,6.6000000000000005,24.0,0.275
2023-09-06,0.499,47.8,56.0,0.8535714285714285
2023-09-07,0.499,30.0,31.0,0.967741935483871
2023-09-08,0.499,21.7,21.0,1.0333333333333332
2023-09-09,0.5,10.145,6.0,1.6908333333333332
2023-09-10,0.5,25.1978,4.0,6.29945
2023-09-11,0.5,1.005,2.0,0.5025
2023-09-12,0.299,3.713,7.0,0.5304285714285715
2023-09-13,0.299,0.0,0.0,0.0
2023-09-14,0.299,0.0,0.0,0.0
2023-09-15,0.299,0.0,0.0,0.0
2023-09-16,0.299,0.0,0.0,0.0
2023-09-17,0.299,0.0,0.0,0.0
2023-09-18,0.199,0.742,4.0,0.1855
2023-09-19,0.199,1.995,2.0,0.9975
2023-09-20,0.199,2.9,2.0,1.45
2023-09-21,0.199,2.0,2.0,1.0
2023-09-22,0.199,0.0,0.0,0.0
2023-09-23,0.199,6.18,3.0,2.06
2023-09-24,0.199,0.0,0.0,0.0
2023-09-25,0.199,1.8,1.0,1.8
2023-09-26,0.199,0.0,0.0,0.0
2023-09-27,0.199,0.0,0.0,0.0
2023-09-28,0.199,1.77,1.0,1.77
2023-09-29,0.199,0.0,0.0,0.0
2023-09-30,0.0967,0.6801999999999999,8.0,0.08502499999999999
2023-10-01,0.05,5.01,8.0,0.62625
2023-10-02,0.09,1.8900000000000001,2.0,0.9450000000000001
2023-10-03,0.5,7.0,6.0,1.1666666666666667
2023-10-04,0.5,1.3,3.0,0.43333333333333335
2023-10-05,0.5,0.0,0.0,0.0
2023-10-06,0.0975,42.520984999999996,60.0,0.7086830833333333
2023-10-07,0.0975,0.505,2.0,0.2525
2023-10-08,0.0975,1.0,1.0,1.0
2023-10-09,0.0975,2.2745,4.0,0.568625
2023-10-10,0.6,1.2999999999999998,3.0,0.4333333333333333
2023-10-11,0.6,0.8,3.0,0.26666666666666666
2023-10-12,0.15,0.25,2.0,0.125
