Date,price,coll_sum,coll_count,coll_mean
2022-12-31,5.0,14615.494555,2270.0,6.438543856828193
2023-01-01,13.75,3264.3904,193.0,16.91393989637306
2023-01-02,13.44,956.027,67.0,14.269059701492537
2023-01-03,14.87,471.6749,35.0,13.476425714285714
2023-01-04,14.95,221.748,15.0,14.783199999999999
2023-01-05,14.59,255.59,7.0,36.51285714285714
2023-01-06,13.69,83.37,6.0,13.895000000000001
2023-01-07,11.0,35.5,3.0,11.833333333333334
2023-01-08,11.0,101.685,9.0,11.298333333333334
2023-01-09,12.0,92.919,10.0,9.2919
2023-01-10,11.9,186.67000000000002,4.0,46.667500000000004
2023-01-11,10.0,44.899,5.0,8.979800000000001
2023-01-12,10.0,256.0,2.0,128.0
2023-01-13,11.9,93.18,11.0,8.47090909090909
2023-01-14,11.0,346.29,13.0,26.63769230769231
2023-01-15,12.0,225.78,18.0,12.543333333333333
2023-01-16,12.0,12.0,1.0,12.0
2023-01-17,12.0,23.69,3.0,7.896666666666667
2023-01-18,10.99,273.255,7.0,39.03642857142857
2023-01-19,10.0,10.01,2.0,5.005
2023-01-20,10.0,6.0,2.0,3.0
2023-01-21,10.0,99.5,2.0,49.75
2023-01-22,10.0,1.75,1.0,1.75
2023-01-23,10.0,0.0,0.0,0.0
2023-01-24,11.49,11.49,1.0,11.49
2023-01-25,11.49,0.0,0.0,0.0
2023-01-26,11.49,0.02,2.0,0.01
2023-01-27,11.49,150.01,2.0,75.005
2023-01-28,11.49,90.0,1.0,90.0
2023-01-29,10.0,54.269000000000005,6.0,9.044833333333335
2023-01-30,10.0,20.12,14.0,1.4371428571428573
2023-01-31,10.5,110.02,4.0,27.505
2023-02-01,10.4,10.4,1.0,10.4
2023-02-02,10.4,0.0,0.0,0.0
2023-02-03,10.0,10.0,1.0,10.0
2023-02-04,10.44,35.8521,3.0,11.9507
2023-02-05,10.44,10.44,1.0,10.44
2023-02-06,10.44,70.0,2.0,35.0
2023-02-07,8.5,8.5,1.0,8.5
2023-02-08,8.99,55.96,7.0,7.994285714285715
2023-02-09,8.99,9.99,2.0,4.995
2023-02-10,8.98,8.98,1.0,8.98
2023-02-11,10.0,29.09,3.0,9.696666666666667
2023-02-12,10.0,0.0,0.0,0.0
2023-02-13,9.0,9.0,1.0,9.0
2023-02-14,9.0,9.0,1.0,9.0
2023-02-15,9.0,0.0,0.0,0.0
2023-02-16,8.87,179.744,8.0,22.468
2023-02-17,8.8,8.8,1.0,8.8
2023-02-18,8.88,8.88,1.0,8.88
2023-02-19,7.995,22.475,2.0,11.2375
2023-02-20,7.995,8.595,2.0,4.2975
2023-02-21,7.995,1.32,1.0,1.32
2023-02-22,7.995,0.0,0.0,0.0
2023-02-23,7.995,70.0,1.0,70.0
2023-02-24,7.995,8.0,1.0,8.0
2023-02-25,7.25,8.85,2.0,4.425
2023-02-26,7.3,11.5,3.0,3.8333333333333335
2023-02-27,7.3,0.0,0.0,0.0
2023-02-28,7.3,23.7,3.0,7.8999999999999995
2023-03-01,7.3,6.73,3.0,2.2433333333333336
2023-03-02,7.3,0.0,0.0,0.0
2023-03-03,9.94,40.839999999999996,5.0,8.168
2023-03-04,9.94,200.0,1.0,200.0
2023-03-05,9.94,0.0,0.0,0.0
2023-03-06,9.94,0.0,0.0,0.0
2023-03-07,9.5,9.5,1.0,9.5
2023-03-08,9.5,0.0,0.0,0.0
2023-03-09,9.5,0.0,0.0,0.0
2023-03-10,9.5,108.5,3.0,36.166666666666664
2023-03-11,9.5,0.0,0.0,0.0
2023-03-12,9.5,0.0,0.0,0.0
2023-03-13,9.5,1.33,1.0,1.33
2023-03-14,8.88,8.88,1.0,8.88
2023-03-15,8.88,0.0,0.0,0.0
2023-03-16,8.88,11.0,1.0,11.0
2023-03-17,8.88,0.0,0.0,0.0
2023-03-18,8.88,0.0,0.0,0.0
2023-03-19,8.88,0.0,0.0,0.0
2023-03-20,8.88,0.5,2.0,0.25
2023-03-21,8.86,8.86,1.0,8.86
2023-03-22,8.86,0.0,0.0,0.0
