Date,price,coll_sum,coll_count,coll_mean
2021-10-10,5.0,17942.340899,2876.0,6.238644262517385
2021-10-11,12.48,924.78,49.0,18.873061224489796
2021-10-12,10.4,641.067899,60.0,10.684464983333333
2021-10-13,10.0,1274.8045,77.0,16.555902597402596
2021-10-14,10.1,695.11,34.0,20.444411764705883
2021-10-15,8.95,4955.33,26.0,190.58961538461537
2021-10-16,10.15,448.799,33.0,13.599969696969696
2021-10-17,9.99,569.569,19.0,29.977315789473682
2021-10-18,9.575,931.005,145.0,6.4207241379310345
2021-10-19,9.0,2762.29,50.0,55.2458
2021-10-20,8.88,242.04,17.0,14.237647058823528
2021-10-21,8.7,1748.62,15.0,116.57466666666666
2021-10-22,8.71,974.35,23.0,42.36304347826087
2021-10-23,8.4,73.44,11.0,6.676363636363636
2021-10-24,7.9,73.55,13.0,5.657692307692307
2021-10-25,8.48,204.18,27.0,7.562222222222222
2021-10-26,8.7,491.949999,31.0,15.869354806451613
2021-10-27,8.2,1216.22,20.0,60.811
2021-10-28,8.0,69.59,13.0,5.353076923076923
2021-10-29,8.5,265.28999999999996,11.0,24.117272727272724
2021-10-30,9.65,1335.21,18.0,74.17833333333334
2021-10-31,8.7,1451.63,19.0,76.40157894736842
2021-11-01,9.0,705.628,30.0,23.520933333333335
2021-11-02,9.9,4623.74,33.0,140.11333333333332
2021-11-03,9.9,6179.4,13.0,475.3384615384615
2021-11-04,9.0,200.255,13.0,15.404230769230768
2021-11-05,8.7,132.58,10.0,13.258000000000001
2021-11-06,9.0,82.77,15.0,5.518
2021-11-07,9.0,173.581,14.0,12.398642857142857
2021-11-08,8.99,38.989,2.0,19.4945
2021-11-09,8.99,1900.723,19.0,100.03805263157895
2021-11-10,9.86,1434.35,29.0,49.460344827586205
2021-11-11,9.39,6058.379,11.0,550.7617272727273
2021-11-12,9.25,112.449,10.0,11.2449
2021-11-13,8.85,299.85,5.0,59.970000000000006
2021-11-14,8.0,131.25,5.0,26.25
2021-11-15,8.0,209.0,2.0,104.5
2021-11-16,8.3,176.945,9.0,19.660555555555554
2021-11-17,8.5,1070.5,10.0,107.05
2021-11-18,7.8,4909.27,19.0,258.3826315789474
2021-11-19,9.75,274.8222,8.0,34.352775
2021-11-20,9.14,26.14,3.0,8.713333333333333
2021-11-21,8.75,22122.88,39.0,567.2533333333333
2021-11-22,7.98,3066.9300000000003,6.0,511.15500000000003
2021-11-23,7.98,271.66,7.0,38.80857142857143
2021-11-24,6.94,18784.989999999998,75.0,250.4665333333333
2021-11-25,7.44,1898.768,12.0,158.23066666666668
2021-11-26,6.99,30.5,3.0,10.166666666666666
2021-11-27,6.9,442.40999999999997,11.0,40.21909090909091
2021-11-28,6.9,3000.96,4.0,750.24
2021-11-29,6.6,7.35,2.0,3.675
2021-11-30,6.7,94.74,5.0,18.948
2021-12-01,6.6,119.874,8.0,14.98425
2021-12-02,6.4,2110.048,198.0,10.65680808080808
2021-12-03,6.39,1238.748,237.0,5.226784810126582
2021-12-04,6.39,890.989999,9.0,98.99888877777778
2021-12-05,6.49,62.32,15.0,4.1546666666666665
2021-12-06,6.49,1856.78,11.0,168.7981818181818
2021-12-07,5.95,226.95,10.0,22.695
2021-12-08,5.99,238.69,14.0,17.049285714285713
2021-12-09,5.7,185.7,5.0,37.14
2021-12-10,5.0,144.41,11.0,13.128181818181817
2021-12-11,5.95,2687.94,21.0,127.99714285714286
2021-12-12,5.0,525.0,6.0,87.5
2021-12-13,5.2,2343.14,9.0,260.3488888888889
2021-12-14,5.98,2972.48,583.0,5.098593481989709
