combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,2.5740743188629094e-05,0.005073533599832477,0.0038674265383159367,0.09021902381489505
3,0,0,0,1,1,0.0001032645472425862,0.010161916514249967,0.007751641613645009,0.1712276771524237
5,0,0,1,0,1,3.9964652226297045e-05,0.006321760215817826,0.004930573215022699,0.11846576330725696
7,0,0,1,1,1,0.000128370879622395,0.011330087361640024,0.008744614270475617,0.1928704182755921
9,0,1,0,0,1,5.246309206516253e-05,0.007243141035846432,0.005775309266258608,0.13381846266914899
11,0,1,0,1,1,0.00011582694337758983,0.010762292663628407,0.00880754926757117,0.19967119140097975
13,0,1,1,0,1,9.120863273583662e-05,0.009550321080248381,0.007630341023972136,0.17143446738105145
15,0,1,1,1,1,9.324186060231775e-05,0.009656182506680254,0.0074342897079078775,0.17062297857364234
16,1,0,0,0,0,9.376061644551166e-05,0.009683006580887553,0.007791719377919518,0.22688898480886358
17,1,0,0,0,1,2.080007667675934e-05,0.004560710106634639,0.003648007116021123,0.09712220859934316
18,1,0,0,1,0,9.056137812490369e-05,0.00951637421105873,0.007867260803439512,0.1959226088461164
19,1,0,0,1,1,2.6748928178046177e-05,0.005171936598417094,0.004179784262756101,0.10304047571495811
20,1,0,1,0,0,6.147879695270882e-05,0.00784084159722085,0.006233673958727867,0.17788596719186767
21,1,0,1,0,1,3.416307825612391e-05,0.005844919011938823,0.004891114788792636,0.13892409222837995
22,1,0,1,1,0,8.176220956020725e-05,0.009042245825026394,0.007316851905307962,0.18189892880806105
23,1,0,1,1,1,3.1880945439951045e-05,0.005646321407779675,0.00442010549879917,0.11403198955272371
24,1,1,0,0,0,0.0001529460053975428,0.012367134081813086,0.009875427406692162,0.27688674046565037
25,1,1,0,0,1,2.825498076305019e-05,0.005315541436490754,0.004300733255527518,0.10990731815584448
26,1,1,0,1,0,8.606746034750679e-05,0.00927725500067271,0.007534154515100398,0.21271962489718776
27,1,1,0,1,1,2.8446366242047284e-05,0.005333513498815512,0.004258422343388429,0.10280621313378929
28,1,1,1,0,0,5.531496797952522e-05,0.007437403308919399,0.005632637773958366,0.1623049452666794
29,1,1,1,0,1,3.680906345767993e-05,0.006067047342627214,0.004681955788809822,0.12355744853930307
30,1,1,1,1,0,6.29510155541109e-05,0.007934167603101847,0.00625596504423981,0.15231331045905688
31,1,1,1,1,1,4.19063817740276e-05,0.0064735138660566415,0.005413327758407886,0.14852166737701497
