combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,5.6636332059059555e-06,0.002379838903351644,0.001729224990905956,0.0549798249748666
3,0,0,0,1,1,5.321013500934353e-06,0.002306732212662396,0.0018286927406812245,0.05870077676027233
5,0,0,1,0,1,1.7099847771254805e-05,0.004135196219196231,0.003763798990190972,0.1281348360191035
7,0,0,1,1,1,7.092087112476638e-06,0.0026630972780724025,0.0019582996691093297,0.0601257384491962
9,0,1,0,0,1,5.5829130707562095e-06,0.0023628188823429123,0.001691978734962199,0.05151790306449197
11,0,1,0,1,1,9.773039642414442e-06,0.0031261861176862843,0.002500381898231317,0.07715109201607658
13,0,1,1,0,1,9.6144153909895e-06,0.003100712078053927,0.0021962353585643214,0.06620227279311937
15,0,1,1,1,1,1.696861751281994e-05,0.004119298182071788,0.0036988279569497426,0.12701686252967312
16,1,0,0,0,0,0.00021005992703453897,0.014493444277829165,0.013969181525274458,0.47306178909403973
17,1,0,0,0,1,2.476315724490495e-05,0.004976259362704576,0.004515207891519875,0.15449035800704058
18,1,0,0,1,0,6.350820186056349e-05,0.007969203339140212,0.0069827710576540886,0.24269630659076788
19,1,0,0,1,1,8.202007669617375e-06,0.0028639147455218313,0.002387069861105974,0.08173269103518213
20,1,0,1,0,0,0.00011719087849824131,0.01082547359233033,0.009921731114662883,0.3412104546502151
21,1,0,1,0,1,6.24549215619806e-05,0.007902842625408949,0.007455716416522599,0.25365243039729685
22,1,0,1,1,0,6.140760636626248e-05,0.007836300553594308,0.007004156523486598,0.24036740563746747
23,1,0,1,1,1,3.103725841178797e-05,0.005571109262237456,0.004549866764571897,0.15494855778139324
24,1,1,0,0,0,0.0003251554599486782,0.01803206754503427,0.017575489838001997,0.5876484965266758
25,1,1,0,0,1,2.285234016006395e-05,0.004780412132867202,0.0042683672920522855,0.14745503035108593
26,1,1,0,1,0,0.00017703981905926137,0.013305631103381056,0.012692272160276824,0.4301792579152241
27,1,1,0,1,1,8.99505491112932e-06,0.0029991757052779218,0.002552409497418288,0.08763057628817579
28,1,1,1,0,0,0.00011243895835881824,0.010603723796799793,0.009198174383804549,0.3201005868648238
29,1,1,1,0,1,4.350160858852051e-05,0.006595574924790144,0.005817273223167246,0.2012036508333838
30,1,1,1,1,0,3.66974315763771e-05,0.006057840504369283,0.005518644601030287,0.1875904588339599
31,1,1,1,1,1,6.113505048367967e-05,0.007818890617196258,0.007079054960340354,0.243536868572055
