combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,5.487706247321808e-05,0.00740790540390589,0.0055539140980538455,0.12409933789982532
3,0,0,0,1,1,9.090844004580484e-05,0.009534591760836163,0.008406292354980641,0.2326505828449698
5,0,0,1,0,1,9.405911813545682e-05,0.009698408020673127,0.006747905783984231,0.14503496578672054
7,0,0,1,1,1,0.00010166072421244263,0.01008269429331479,0.007664520532746698,0.1790098916250302
9,0,1,0,0,1,0.00012246707233946508,0.011066484190539698,0.00902393038928891,0.2086978946356253
11,0,1,0,1,1,0.00011982329459483878,0.010946382717356396,0.007987882414716225,0.17665338999280136
13,0,1,1,0,1,0.00011991257575576965,0.010950460070507068,0.00857023811190955,0.19098935121471933
15,0,1,1,1,1,0.00012358641063891184,0.011116942504075113,0.008712260654151333,0.19960318216345913
16,1,0,0,0,0,3.390865089858841e-05,0.005823113505555977,0.004946180570035478,0.13143357793992913
17,1,0,0,0,1,8.57833999234894e-05,0.009261932839504366,0.007780047299175978,0.18957434087970784
18,1,0,0,1,0,8.217837231585867e-05,0.009065228751435821,0.007684491672965571,0.2074975807931193
19,1,0,0,1,1,9.026688168390867e-05,0.009500888468133318,0.008335470880255212,0.23623717914636388
20,1,0,1,0,0,9.6505121842839e-05,0.009823702043671672,0.00816712730799588,0.18870853703866514
21,1,0,1,0,1,0.00014357926588819337,0.011982456588203997,0.010092868228062452,0.2471652540175741
22,1,0,1,1,0,8.100301087169696e-05,0.009000167269095445,0.007858058397402124,0.21525300408749362
23,1,0,1,1,1,0.00010299916415190361,0.010148850385728603,0.007961537201222568,0.18924618174476726
24,1,1,0,0,0,0.00021355219443083422,0.014613425143710636,0.012041293600272956,0.27268350281044845
25,1,1,0,0,1,0.00018519778705426918,0.013608739363154442,0.011902565329787061,0.2783869486761113
26,1,1,0,1,0,0.00010090000464031203,0.01004489943405667,0.00877847514207604,0.24623926572338073
27,1,1,0,1,1,9.146446287482143e-05,0.009563705499168271,0.00830890006174503,0.22806561025753497
28,1,1,1,0,0,0.0002335469096065798,0.015282241642068739,0.012756000646481951,0.29029382742732907
29,1,1,1,0,1,0.0001715709415999565,0.013098509136537505,0.011027494991937569,0.25466879248274216
30,1,1,1,1,0,7.875682851602436e-05,0.008874504409600817,0.007542220773200361,0.20791468092563878
31,1,1,1,1,1,0.0001966603795197264,0.01402356515012236,0.011560001103900142,0.2622452827390654
