combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,7.85778850120121e-06,0.0028031747182794744,0.0023349667199745665,0.07449112112231009
3,0,0,0,1,1,0.00015359550462489091,0.01239336534702705,0.011888194610968407,0.40312583126086693
5,0,0,1,0,1,3.839242666131289e-06,0.001959398547037149,0.0016546189449211319,0.05411625848677057
7,0,0,1,1,1,3.109159237190663e-05,0.005575983534041921,0.004472496933908657,0.15621676720368105
9,0,1,0,0,1,2.2341355712988306e-05,0.004726664332591041,0.004243096014496977,0.13839445423637184
11,0,1,0,1,1,9.377579777743722e-06,0.003062283425443132,0.0027165107555486494,0.09157681478808576
13,0,1,1,0,1,1.663496518600198e-05,0.0040785984340214205,0.0029276750221653033,0.0890676725367781
15,0,1,1,1,1,2.0631372532142764e-05,0.004542177069659742,0.0040091179047197344,0.1358812709299456
16,1,0,0,0,0,2.1326637939421448e-05,0.004618077298987258,0.004231436924968058,0.14152394280812824
17,1,0,0,0,1,3.87892126260092e-05,0.006228098636502893,0.00565853768210387,0.19123461956774462
18,1,0,0,1,0,0.00012201305663980248,0.011045952047687083,0.010207290839730324,0.3498849084080977
19,1,0,0,1,1,0.00016802302764079712,0.012962369676906962,0.012295882363931376,0.41527493476298594
20,1,0,1,0,0,1.1406704321583946e-05,0.0033773812816417317,0.003142747264586647,0.10416022238623238
21,1,0,1,0,1,6.383691254684796e-05,0.007989800532356735,0.007302652741130187,0.24831383010565755
22,1,0,1,1,0,0.0001303742658295619,0.011418155097456063,0.010706869224722516,0.3644936305494536
23,1,0,1,1,1,4.055867449680258e-05,0.0063685692660755905,0.005657711781736965,0.19443931882064913
24,1,1,0,0,0,2.5116806063845647e-05,0.005011666994508479,0.0039646857735223555,0.12065285535972896
25,1,1,0,0,1,3.5996852665104056e-05,0.005999737716359279,0.005243141512607536,0.16367832492037593
26,1,1,0,1,0,0.00018730755334296902,0.013686034975220874,0.01301561506237534,0.44093281122144545
27,1,1,0,1,1,0.00015243539615757089,0.012346473025020987,0.011762636893304335,0.39898752367418366
28,1,1,1,0,0,2.9350450757139796e-05,0.005417605629532275,0.004260217777538334,0.12917336899688234
29,1,1,1,0,1,3.209893318004631e-05,0.005665592041441592,0.00477301887211279,0.15030719371982743
30,1,1,1,1,0,0.0001322284735586349,0.01149906402967802,0.010619830932695204,0.36335204534342286
31,1,1,1,1,1,1.2038839058430913e-05,0.0034697030216476617,0.002730095266826308,0.08388612913810406
