combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,1.23151147560113e-05,0.0035092897794299204,0.0028481299720138726,0.07085813863096523
3,0,0,0,1,1,8.795312235801078e-05,0.009378332600095327,0.00839638612169984,0.20418341674141657
5,0,0,1,0,1,8.251195348759776e-06,0.0028724893992423672,0.0022529338069199067,0.05840765756197133
7,0,0,1,1,1,0.0001237184698799908,0.01112288046685708,0.010106396980790742,0.2444414082033873
9,0,1,0,0,1,1.3504284370004788e-05,0.0036748175968345405,0.00284988973894248,0.06836109683163555
11,0,1,0,1,1,4.289382108306546e-05,0.006549337453747933,0.006013367132042244,0.15320260851391376
13,0,1,1,0,1,1.694932636567752e-05,0.0041169559586759635,0.003276557432452005,0.07838740752750593
15,0,1,1,1,1,1.3550487257617515e-05,0.0036810986481779478,0.0027620754495763203,0.06653584693827962
16,1,0,0,0,0,9.278337994925863e-05,0.009632412986851146,0.008876918323010371,0.2267902842928211
17,1,0,0,0,1,1.2745382780704923e-05,0.0035700676157049077,0.0030073455510255666,0.07924867174949103
18,1,0,0,1,0,8.397192153767096e-05,0.009163619456179472,0.008357129071512938,0.21587428384425605
19,1,0,0,1,1,1.132142621535308e-05,0.003364732710833519,0.0026858154026038715,0.06609665060390049
20,1,0,1,0,0,0.0001309362985951922,0.011442739995088248,0.010955207313583432,0.28192652997582796
21,1,0,1,0,1,1.2877297217195285e-05,0.003588495118736444,0.002996583739311862,0.07886758375002133
22,1,0,1,1,0,2.9252557714555806e-05,0.005408563368821318,0.004682258967445986,0.1319105907879276
23,1,0,1,1,1,3.526559952780989e-05,0.005938484615439354,0.005307778532568507,0.14424885569509427
24,1,1,0,0,0,4.295126480791359e-05,0.006553721447232373,0.00521963017391305,0.1267042656974097
25,1,1,0,0,1,3.0654043694467446e-05,0.005536609404181177,0.004915862853516383,0.13166641032090343
26,1,1,0,1,0,0.00018607916896691372,0.013641083863348752,0.007495765428717599,0.16170523228422912
27,1,1,0,1,1,2.6932143055120124e-05,0.005189618777436366,0.0037796638713275365,0.09218529525354953
28,1,1,1,0,0,5.186585831382202e-05,0.0072017954923631385,0.006397620832163468,0.1631943885825041
29,1,1,1,0,1,1.8207648492494262e-05,0.004267042124527746,0.0037186657646676863,0.10043116816283722
30,1,1,1,1,0,6.965143991101589e-05,0.008345743820116687,0.007807100464734218,0.20233644453055802
31,1,1,1,1,1,1.2146653506438319e-05,0.0034852049446823523,0.002747515632702248,0.06946304788817921
