combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,5.09839482424469e-06,0.0022579625382730976,0.0019243627047700505,0.06399534919014432
3,0,0,0,1,1,2.6011602588839008e-05,0.005100157114132761,0.004865590025731549,0.1596946781985918
5,0,0,1,0,1,8.48512308250486e-06,0.0029129234597745374,0.0024460411460534726,0.08080624947148513
7,0,0,1,1,1,4.230659632318124e-05,0.006504352106334745,0.006256324114127746,0.2023753475646285
9,0,1,0,0,1,3.049192509033909e-06,0.0017461937203626374,0.0014586300966720677,0.048263369417640915
11,0,1,0,1,1,2.0344701069021094e-05,0.004510510067500248,0.004286562510816177,0.14114494574927966
13,0,1,1,0,1,5.3960945334504736e-06,0.002322949533126037,0.0018804957002648657,0.061551230570570666
15,0,1,1,1,1,6.238216622228589e-06,0.002497642212613446,0.002062749823975716,0.0685276524959666
16,1,0,0,0,0,5.802078540069752e-05,0.007617137612036264,0.007465961120148198,0.2493890181549119
17,1,0,0,0,1,1.067469551547767e-05,0.003267215253924612,0.0029991646426835547,0.10196697175336199
18,1,0,0,1,0,5.9023148695756826e-05,0.007682652451839587,0.0074882107411754885,0.2511322159950595
19,1,0,0,1,1,3.635721640476627e-06,0.001906756838319094,0.0016337019329422373,0.05343878190720849
20,1,0,1,0,0,9.100190770652571e-05,0.009539492004636605,0.009463650191554686,0.3134669070594633
21,1,0,1,0,1,1.0041144862882697e-05,0.003168776556162125,0.002896823407638921,0.09885177836636783
22,1,0,1,1,0,3.7679599261139365e-05,0.006138371059258259,0.005911266241344466,0.19921428289131546
23,1,0,1,1,1,4.2463741820805084e-05,0.006516420936434745,0.006217946099420165,0.21046334058007404
24,1,1,0,0,0,1.2327903561180713e-05,0.00351111144243254,0.003348882803660845,0.11293875625735823
25,1,1,0,0,1,3.439771393457067e-05,0.005864956430747859,0.005612317608853922,0.18893318484707267
26,1,1,0,1,0,2.3911631161376447e-06,0.0015463386162602435,0.0013151535851317804,0.0433085215797027
27,1,1,0,1,1,7.828303706744761e-06,0.002797910596631844,0.002557604508791628,0.08683872700750085
28,1,1,1,0,0,3.143694962754937e-05,0.005606866292997307,0.005433146506140128,0.1823571273116553
29,1,1,1,0,1,1.9581693168303038e-05,0.004425120695337364,0.004142164176855425,0.14019715445943695
30,1,1,1,1,0,4.464502196891044e-05,0.006681693046594586,0.006557434283874147,0.21882910964835586
31,1,1,1,1,1,5.92027901480946e-06,0.0024331623486338635,0.0022009382595433156,0.0744919812886781
