combination_number,market,accounts,staking,transactions,TI,mse,rmse,mae,mape
1,0,0,0,0,1,4.499058640191662e-06,0.002121098451319896,0.00149241745264319,0.046863297239529006
3,0,0,0,1,1,5.085891670862741e-06,0.0022551921583010928,0.001988127877027186,0.06733328570117246
5,0,0,1,0,1,3.3330431723732468e-06,0.001825662392769607,0.0014055952228511968,0.04529606951974966
7,0,0,1,1,1,2.6994000347600837e-05,0.005195575073810486,0.004877441763107787,0.1662429586261572
9,0,1,0,0,1,3.4823135386506012e-06,0.0018660958010377176,0.0015246041560145523,0.049748738006212156
11,0,1,0,1,1,0.00010327690951407604,0.010162524760809985,0.00997193322748759,0.3344893982010644
13,0,1,1,0,1,6.1054031152527085e-06,0.0024709113936466254,0.001883891233679874,0.059995852895220046
15,0,1,1,1,1,4.543721145069585e-05,0.0067407129779197585,0.006264869061567873,0.21446670099247875
16,1,0,0,0,0,1.0977721541199451e-05,0.0033132644840397894,0.0029755372116742032,0.09663954951958052
17,1,0,0,0,1,1.902314584114929e-05,0.004361553145514714,0.004114601639824593,0.13427040232589604
18,1,0,0,1,0,1.004495731980003e-05,0.0031693780651414925,0.0028522006946100397,0.09560360488422096
19,1,0,0,1,1,2.826100025096882e-05,0.005316107622214661,0.0047761682392045285,0.16508642241242313
20,1,0,1,0,0,3.2408607189223595e-05,0.0056928558026023805,0.005526670546177307,0.1812094682585671
21,1,0,1,0,1,2.7391989087665218e-05,0.005233735672315255,0.005023539983949038,0.1640549486995316
22,1,0,1,1,0,8.787579111296682e-05,0.009374208825973892,0.009111501335769216,0.3069695022145368
23,1,0,1,1,1,2.2525991778479033e-05,0.0047461554734836734,0.004223338688414652,0.1457885405055102
24,1,1,0,0,0,7.088188486205663e-06,0.0026623652052649846,0.0022706691460515583,0.07626673834783396
25,1,1,0,0,1,7.957350890032085e-06,0.0028208776807993794,0.002400135694071637,0.07903071482746697
26,1,1,0,1,0,7.62276570311944e-06,0.002760935657185701,0.002385816523468005,0.07722427956643602
27,1,1,0,1,1,5.221784934582254e-05,0.007226191897937844,0.006674818248650924,0.22882067489115496
28,1,1,1,0,0,4.951643902687596e-06,0.0022252289551162137,0.0018661448483459136,0.06137679248101761
29,1,1,1,0,1,7.2691947596131264e-06,0.0026961444248432107,0.002279838446872413,0.0773831884453111
30,1,1,1,1,0,7.481528709572997e-05,0.008649583059068799,0.0081484038867426,0.27798811242974464
31,1,1,1,1,1,3.774861156028137e-05,0.006143989873061427,0.005487814291041208,0.18966925634277096
