combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.09204156395316151,0.3033835261729969,0.27956495207325016,0.23239481651353136
3,0,0,0,1,1,0.8260951770340017,0.9088977814000877,0.8565420399291087,0.7358310411974015
5,0,0,1,0,1,0.16546428509918293,0.4067730142219158,0.3351267330917629,0.2707973390619486
7,0,0,1,1,1,0.3891763359459323,0.6238399922623848,0.5563848020827566,0.5005037018530413
9,0,1,0,0,1,0.03312425227044831,0.18200069304936262,0.13090172899721111,0.08540009812887937
11,0,1,0,1,1,1.0069016085533669,1.0034448707095807,0.9189214441279338,0.8213414063918235
13,0,1,1,0,1,0.7326021417441402,0.8559218081951997,0.7933246935352952,0.6915471084174554
15,0,1,1,1,1,0.8360667712507588,0.914366869068843,0.8361218080499773,0.7407647341058217
16,1,0,0,0,0,0.4496604257641694,0.6705672417917307,0.5773438631676158,0.441204591151663
17,1,0,0,0,1,0.1495453790328536,0.38671097609565414,0.3589698125691163,0.27914943632567474
18,1,0,0,1,0,1.0492306772884725,1.0243196167644513,0.9448655247140467,0.831691343317276
19,1,0,0,1,1,0.7016417454909277,0.8376405825238696,0.7556082777913895,0.6812503208677021
20,1,0,1,0,0,0.1689829507924904,0.411075359018867,0.31660315865872,0.22200389213517358
21,1,0,1,0,1,0.11428114680393778,0.3380549464272602,0.3002408830815489,0.24109872853797074
22,1,0,1,1,0,0.9729856474292288,0.9864003484535215,0.8976172261033339,0.798851544253316
23,1,0,1,1,1,0.7844070335449961,0.8856675637873367,0.800119377904184,0.715392816945584
24,1,1,0,0,0,0.5883058323282194,0.7670109727560743,0.7150680913021762,0.6074917221424891
25,1,1,0,0,1,0.8112774568284105,0.9007094186408903,0.8344072526440309,0.7347689910812144
26,1,1,0,1,0,1.973840900438245,1.4049344826141341,1.3022502355513583,1.1496514381042726
27,1,1,0,1,1,1.0548234505107459,1.0270459826661833,0.9385264990934223,0.8395561366737154
28,1,1,1,0,0,0.37592227822258056,0.6131250102732563,0.5489619889944523,0.4799228190873631
29,1,1,1,0,1,0.9713566203122891,0.9855742591567056,0.9200121569324857,0.7974899583669328
30,1,1,1,1,0,1.8337804402722477,1.354171495886783,1.267736127160871,1.1089465778670562
31,1,1,1,1,1,1.3720766680628445,1.1713567637841362,1.0794964316020086,0.959984806489667
