combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.04588274641042021,0.2142025826418071,0.1793079120792296,0.055215353880021883
3,0,0,0,1,1,0.3105984250029004,0.5573135786995508,0.46634661315636444,0.1464380758182747
5,0,0,1,0,1,0.13180265610021158,0.36304635530495494,0.3222249440289484,0.0975939343967311
7,0,0,1,1,1,0.09651873862188043,0.31067465075522405,0.23874284072329852,0.07110378612320384
9,0,1,0,0,1,0.11465255316120884,0.3386038292181718,0.2911939894959463,0.08672677354922158
11,0,1,0,1,1,0.1838831803662043,0.42881602158292115,0.36426361371530336,0.1081548002619582
13,0,1,1,0,1,0.12461018681823814,0.3530016810416604,0.2926439264953922,0.08560446803448493
15,0,1,1,1,1,0.33929559957857613,0.5824908579356213,0.4975871510218203,0.1478057146796877
16,1,0,0,0,0,0.13331104864506216,0.3651178558288572,0.2728017265773722,0.08078448453325857
17,1,0,0,0,1,0.18094154941421473,0.42537224805364854,0.36935992947695073,0.11505019477740133
18,1,0,0,1,0,0.23917563429734626,0.4890558600991775,0.37557036885558054,0.10816923061250046
19,1,0,0,1,1,0.16084049250549767,0.4010492395024552,0.3188926320176416,0.09336048141761723
20,1,0,1,0,0,0.15628537029840522,0.3953294452711627,0.3487143979121835,0.10730390357052033
21,1,0,1,0,1,0.09739191406011183,0.31207677590636546,0.26551317766324656,0.0796721679255365
22,1,0,1,1,0,0.3232474282652929,0.5685485276256486,0.4312120652054679,0.12475234931129618
23,1,0,1,1,1,0.2113583144609989,0.4597372232710757,0.3801120312624077,0.11444284033771239
24,1,1,0,0,0,0.13304434085663244,0.3647524377665384,0.3110504028702063,0.09312164598727815
25,1,1,0,0,1,0.18316210842796105,0.4279744249694846,0.351353255726889,0.1038066748047744
26,1,1,0,1,0,0.1839446921507266,0.4288877384010023,0.31624881164056534,0.09054466655978782
27,1,1,0,1,1,0.2278294227874433,0.47731480470172233,0.3996122039977966,0.11957250987169585
28,1,1,1,0,0,0.19759380806855406,0.4445152506591355,0.38265667125318603,0.11743785362061207
29,1,1,1,0,1,0.1296925995066608,0.36012858746100784,0.29112113550532104,0.08513724467786182
30,1,1,1,1,0,0.35336381880122514,0.5944441258867188,0.5317812325485894,0.16328044824839688
31,1,1,1,1,1,0.23602851403971725,0.4858276587841796,0.4167273457412551,0.12454500045171088
