combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.42603256523310146,0.652711701467885,0.6027269751477917,0.5264337517293102
3,0,0,0,1,1,0.6380227337411203,0.7987632526231538,0.7141239426430204,0.6397024043432918
5,0,0,1,0,1,0.13996965690915703,0.3741251888194071,0.32887640547974917,0.25307316041367384
7,0,0,1,1,1,0.7529984475639864,0.8677548314840928,0.7849165529983818,0.7036781074966939
9,0,1,0,0,1,0.3821696794859354,0.61819873785534,0.5340078361161886,0.47436359357889796
11,0,1,0,1,1,0.6588185836660435,0.8116764032950838,0.7267429838898414,0.6423335584045825
13,0,1,1,0,1,0.2588889068115596,0.5088112683614227,0.4375487998609442,0.38803996325405593
15,0,1,1,1,1,1.3133400822906431,1.1460105070594437,1.0727108500184668,0.936657298172321
16,1,0,0,0,0,0.40102411964624185,0.6332646521370365,0.5739604631241718,0.4416554756636359
17,1,0,0,0,1,0.16053321209885713,0.40066596074393085,0.33529246379645944,0.2797434783661463
18,1,0,0,1,0,1.666861825010945,1.2910700310250196,1.2302305368853905,1.0264963775529257
19,1,0,0,1,1,0.43451793523700116,0.6591797442556933,0.5725250608288466,0.5155954990446282
20,1,0,1,0,0,0.5191497498506759,0.7205204715000649,0.6393010300123385,0.5102609497335442
21,1,0,1,0,1,0.6013858488396705,0.7754907148636084,0.7241119524401857,0.6283503901780096
22,1,0,1,1,0,1.5456769494349352,1.2432525686420017,1.1838495285662576,1.002416463146042
23,1,0,1,1,1,1.1503361125256877,1.0725372313004746,0.9896388793947434,0.8701982023958582
24,1,1,0,0,0,0.863058823447874,0.9290095927641835,0.8458258870435684,0.7550684557598295
25,1,1,0,0,1,0.8650227943504367,0.9300660161248968,0.8559540967850034,0.7605198227075757
26,1,1,0,1,0,1.2101776942462628,1.1000807671467867,1.0325167015612104,0.8967212784398988
27,1,1,0,1,1,0.4996843599276141,0.7068835547157779,0.6205757594558222,0.5680747354793926
28,1,1,1,0,0,1.3020182154019706,1.1410601278644217,1.0697843911021927,0.9324502648787125
29,1,1,1,0,1,0.3650372607335673,0.6041831350952849,0.5400638998095489,0.48477170000216413
30,1,1,1,1,0,1.4338255351202254,1.1974245425579957,1.1380738489340914,0.9772209522858933
31,1,1,1,1,1,1.2684451083562311,1.126252684061721,1.0392340337203094,0.9230133069265422
