combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.059785910789040934,0.24451157598167195,0.20494178778141206,0.061830806712071924
3,0,0,0,1,1,0.22957865991830126,0.4791436735659788,0.4003887829738498,0.11703143540621949
5,0,0,1,0,1,0.14049328701989075,0.3748243415520005,0.32778120620688445,0.10193522191818344
7,0,0,1,1,1,0.2449309641245212,0.49490500515202024,0.3891905274642609,0.11305286537516149
9,0,1,0,0,1,0.36752209227879273,0.6062360037797101,0.5239268413049882,0.15667572420446724
11,0,1,0,1,1,0.3185322025802774,0.5643865719347666,0.5009084140562641,0.15384094657137082
13,0,1,1,0,1,0.19269286315658676,0.43896795231154034,0.3332340976153619,0.09611734034327744
15,0,1,1,1,1,0.25235531486685037,0.5023497933381185,0.4315372218137389,0.13213254052005663
16,1,0,0,0,0,0.18132753791516562,0.4258257130742173,0.37064619475783717,0.11727540892547222
17,1,0,0,0,1,0.24092518602379143,0.4908413043171809,0.3763333372812446,0.11693474069569418
18,1,0,0,1,0,0.3225967573064338,0.5679760182493921,0.4702519387099916,0.13968618571971939
19,1,0,0,1,1,0.21126197425776264,0.45963243386184427,0.3656065875687993,0.10794298541232177
20,1,0,1,0,0,0.2509659625295078,0.5009650312442055,0.4544500068036438,0.14266290420799835
21,1,0,1,0,1,0.09747822543791232,0.31221503076871926,0.2746995063946989,0.08307557631212698
22,1,0,1,1,0,0.29804041389768765,0.5459307775695447,0.495341856851419,0.15325272513936403
23,1,0,1,1,1,0.2746196753200355,0.5240416732665786,0.442908914324206,0.13062442453196535
24,1,1,0,0,0,0.2835386038346119,0.5324834305728319,0.43117843360867436,0.12528439973270147
25,1,1,0,0,1,0.2127896821968684,0.4612913203138212,0.3994189996122343,0.12209927145512475
26,1,1,0,1,0,0.22624558434990177,0.47565279811003086,0.4026457385513268,0.12409131480729055
27,1,1,0,1,1,0.12806998720195206,0.35786867312179205,0.3158142768673829,0.09650107426576279
28,1,1,1,0,0,0.18421448781423255,0.4292021526206882,0.38987263500215913,0.1205310041648549
29,1,1,1,0,1,0.13633643391824457,0.3692376388157694,0.32052196068550426,0.09607954488834626
30,1,1,1,1,0,0.32129959130039126,0.5668329483193362,0.5149413192560321,0.1589924707106696
31,1,1,1,1,1,0.2021362295942331,0.4495956289758978,0.40389662994738657,0.12370007850958474
