combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.012719594890442082,0.11278118145525025,0.07303012908138984,0.046412383302139065
3,0,0,0,1,1,0.012840036238620334,0.11331388369754315,0.08425423515851176,0.060291978367628486
5,0,0,1,0,1,0.036928777401143455,0.19216861710785,0.16717614721872026,0.14127199550323485
7,0,0,1,1,1,0.023633478282728302,0.15373183887122505,0.12104320958822042,0.09372676588856554
9,0,1,0,0,1,0.06817950484488487,0.2611120541929937,0.22852169527761612,0.19478762177408698
11,0,1,0,1,1,0.027208089324712702,0.16494874756939715,0.12181936034078024,0.08172134537199696
13,0,1,1,0,1,0.03628449844944035,0.19048490346859603,0.15617009913730373,0.12334176020898195
15,0,1,1,1,1,0.0403218483038673,0.2008030087022286,0.14654480271413828,0.10649276531014192
16,1,0,0,0,0,0.058143462788254094,0.2411295560238398,0.17234008832402772,0.11556564249709801
17,1,0,0,0,1,0.22666128759081067,0.47608957937641383,0.4370667897448343,0.3831773379624276
18,1,0,0,1,0,0.23349729519700305,0.483215578388159,0.4285973380271184,0.3846117595946811
19,1,0,0,1,1,0.113740583621491,0.33725447902361655,0.2991200968919805,0.2689706972749248
20,1,0,1,0,0,0.2036546186840211,0.4512810861137669,0.4081954593785671,0.356963863176218
21,1,0,1,0,1,0.028195224719778575,0.16791433744555162,0.14158007120834543,0.11602942351853499
22,1,0,1,1,0,0.26510685110537785,0.5148852795578621,0.44065041880801137,0.40436813462616883
23,1,0,1,1,1,0.09349803889298658,0.30577449025873066,0.2627414092252999,0.23791459289266104
24,1,1,0,0,0,0.8739003363838876,0.9348263669708335,0.8680067176703565,0.7602880266432461
25,1,1,0,0,1,0.07816206870544197,0.2795747998397602,0.23962575132037023,0.2107110166874303
26,1,1,0,1,0,0.5184070429488877,0.7200048909201158,0.6400761172366065,0.57996153081304
27,1,1,0,1,1,0.029067827646245513,0.1704928961753114,0.13580415096894558,0.10216436230667207
28,1,1,1,0,0,0.2877945136613108,0.5364648298456394,0.4553209879324514,0.41486808337142794
29,1,1,1,0,1,0.26917417188682496,0.5188199802309322,0.4596488611694313,0.41123011400914944
30,1,1,1,1,0,0.551295252860007,0.7424925944815928,0.6279726851810757,0.5747870801723141
31,1,1,1,1,1,0.11719498800363276,0.3423375351953577,0.29264299540444205,0.2666267493193026
