combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.044358109930658036,0.21061365086493808,0.15921602695820242,0.049334630616170286
3,0,0,0,1,1,0.031154162076116505,0.17650541656310864,0.13812487942508472,0.04247937912585365
5,0,0,1,0,1,0.04142585183351926,0.20353341699465288,0.1695637206298852,0.05144554528210601
7,0,0,1,1,1,0.051317316336573514,0.22653325657963228,0.1682335293793583,0.0523230103411204
9,0,1,0,0,1,0.060259050566949295,0.24547718950433928,0.18414727114078577,0.05508946116715174
11,0,1,0,1,1,0.10633834632654494,0.32609560918010677,0.26882725175479383,0.0790181927018258
13,0,1,1,0,1,0.08529840189787752,0.2920589014186651,0.21529131352533198,0.06420848836019372
15,0,1,1,1,1,0.12862566689258167,0.35864420655097956,0.2883990080147541,0.08645852731879397
16,1,0,0,0,0,0.10297414295660642,0.3208958444053248,0.2697234977998375,0.08269591741601176
17,1,0,0,0,1,0.05467145054758411,0.233819268982657,0.18135304858243115,0.056434717883979094
18,1,0,0,1,0,0.02998149678198699,0.17315165832872345,0.14131303252531574,0.04277431594942736
19,1,0,0,1,1,0.03280854743108422,0.18113129887207297,0.13948929587763176,0.042780901101846305
20,1,0,1,0,0,0.04563989922498039,0.213634967233785,0.16835163835983727,0.05274228121736926
21,1,0,1,0,1,0.04259034822797117,0.2063742915868427,0.16809145370934866,0.05093473105194479
22,1,0,1,1,0,0.028864148367008947,0.16989452129780097,0.13379030236143746,0.040807300405805186
23,1,0,1,1,1,0.028565962719259343,0.16901468196360736,0.1354010768616235,0.041918467774988026
24,1,1,0,0,0,0.17733612792449222,0.4211129633773962,0.356708373491416,0.1117085698319679
25,1,1,0,0,1,0.059399393569587046,0.24371990802884166,0.20967953427032843,0.06339695713340306
26,1,1,0,1,0,0.06375028402316046,0.25248818590809446,0.18660121328272175,0.05716477203572554
27,1,1,0,1,1,0.050604626924467884,0.2249547219430343,0.18842116425459157,0.05749972764160742
28,1,1,1,0,0,0.06635748085616242,0.25759945818297525,0.19450790742536125,0.05919907532626193
29,1,1,1,0,1,0.05218250727310162,0.22843490817539605,0.18527995425039084,0.05631185050808201
30,1,1,1,1,0,0.06593073301019152,0.25676980548770045,0.19708761061729313,0.062169152013637485
31,1,1,1,1,1,0.047788965730503084,0.2186068748473,0.18001509931034107,0.054475784317974695
