combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,1.4695033806789402,1.212230745641662,1.1044124758161606,0.9905850445843668
3,0,0,0,1,1,3.6091959084398666,1.8997883851734294,1.7583139027743886,1.5488571657441565
5,0,0,1,0,1,2.094109254763754,1.4471037470629928,1.3859341723560026,1.1690897321969231
7,0,0,1,1,1,3.6189936871853075,1.902365287526375,1.7793166208288131,1.5569003407321458
9,0,1,0,0,1,3.6881689882343944,1.920460618766861,1.7396855173442936,1.5334422410779551
11,0,1,0,1,1,4.7741004610906534,2.1849715012078885,2.0363532787247784,1.7753633000889648
13,0,1,1,0,1,4.898421812395061,2.2132378571665225,2.082485007020428,1.8076577061526715
15,0,1,1,1,1,4.54557905567157,2.1320363635903514,1.9944473002563132,1.7400909474323762
16,1,0,0,0,0,0.6858367596314572,0.8281526185622172,0.7582733982189781,0.6417841467977728
17,1,0,0,0,1,0.4807811955037488,0.6933838731206177,0.6200415188258849,0.5610171156235393
18,1,0,0,1,0,2.8045353783187923,1.6746747082101623,1.5596412842825726,1.3608583492009587
19,1,0,0,1,1,3.6094271801499644,1.899849251953945,1.756934373171756,1.553015858045955
20,1,0,1,0,0,4.852067779535988,2.2027409696866282,2.113610249645885,1.7936885872851507
21,1,0,1,0,1,1.3391985967876303,1.1572374850425604,1.0793243420796408,0.9414955310266434
22,1,0,1,1,0,3.8206750825133495,1.9546547220707164,1.8285676389714542,1.5932295117933277
23,1,0,1,1,1,4.856842496138443,2.2038245157313328,2.065210865129435,1.7997754431496003
24,1,1,0,0,0,3.491897394005141,1.8686619260864554,1.6881053922198432,1.4952109608597726
25,1,1,0,0,1,4.24873914286445,2.0612469873512125,1.871538687058795,1.6448404869784763
26,1,1,0,1,0,2.881063015433476,1.6973694398785069,1.5372281792988072,1.3592960091085815
27,1,1,0,1,1,3.2910238510281324,1.8141179264392193,1.6436037903454568,1.4521767959923098
28,1,1,1,0,0,3.6637479236488457,1.9140919318697431,1.7305918699384626,1.5285389135970624
29,1,1,1,0,1,5.098969275630025,2.2580897403845634,2.1291908115827036,1.8418920154485454
30,1,1,1,1,0,3.823434640004924,1.9553604885045939,1.8045529134394205,1.5915506415522842
31,1,1,1,1,1,3.6386324314721437,1.9075199688265765,1.769920222134013,1.558010389180756
