combination_number,market,network,social,supply,TI,mse,rmse,mae,mape
1,0,0,0,0,1,0.04411587347931299,0.2100377905980564,0.15782940344999913,0.04769173970162231
3,0,0,0,1,1,0.14261755206388482,0.37764739117844415,0.26177961010237716,0.07588185409405472
5,0,0,1,0,1,0.8282098430351678,0.9100603513147728,0.8078394662702042,0.2550907335096457
7,0,0,1,1,1,0.18221771037878626,0.4268696643927585,0.35732673360117057,0.10975734842561628
9,0,1,0,0,1,0.17575165588768876,0.4192274512572963,0.322197290009495,0.09631195570243253
11,0,1,0,1,1,0.17896543491320382,0.4230430650810906,0.3668980638260655,0.11355357071455748
13,0,1,1,0,1,0.19859589853270598,0.4456409973652626,0.4023531147216968,0.12725370493984592
15,0,1,1,1,1,0.13288809110043429,0.3645381888093952,0.3286258627471485,0.10290164954854279
16,1,0,0,0,0,0.04721265691664099,0.21728473696198955,0.1697476562814557,0.050186411135472515
17,1,0,0,0,1,0.14303339267952142,0.37819755773870545,0.33231608003695373,0.09928213227984473
18,1,0,0,1,0,0.16095883063918678,0.4011967480416395,0.31054239009573714,0.09312257546597427
19,1,0,0,1,1,0.15517247758799863,0.39391937955373385,0.3110071156481075,0.09311231856471712
20,1,0,1,0,0,1.3021377561081393,1.141112508085044,1.0926163657612333,0.33892278806543413
21,1,0,1,0,1,0.3184797778846324,0.5643401260628491,0.4749305919788656,0.15156980638400425
22,1,0,1,1,0,0.1386084622982114,0.37230157439663264,0.31110926708004794,0.09439761737575565
23,1,0,1,1,1,0.16056796936575818,0.4007093327659816,0.35557393988218455,0.11177551403335152
24,1,1,0,0,0,0.13411941807341787,0.366223180688249,0.2712366645526629,0.0809270231513834
25,1,1,0,0,1,0.21361438674307096,0.46218436445110406,0.3323907594759944,0.09863025263144687
26,1,1,0,1,0,0.19443065662646317,0.4409429176508714,0.36414229586580443,0.10969657630769196
27,1,1,0,1,1,0.16090582962097832,0.40113068895433357,0.3222847521529675,0.09693629859463844
28,1,1,1,0,0,0.16152100826318405,0.4018967631907279,0.30001688921435504,0.08950126262783635
29,1,1,1,0,1,0.2803825672381459,0.5295116308808957,0.4621283918870466,0.14675663739897743
30,1,1,1,1,0,0.08024213797181076,0.2832704325760293,0.23295488002950887,0.07111355613800684
31,1,1,1,1,1,0.07865516457130951,0.280455280876131,0.23130238320919078,0.06904304998255602
